INDEX	ORIGINAL	TRANSLITERATED	PHONETIC	PARTOFSPEECH	STRONG	HTMLDEF
45	agkura	Agkura	ang'-koo-rah	Noun Feminine	45	1. An anchor.\2. Metaph. any stay or safeguard.
46	agnafoV	Agnaphos	ag'-naf-os	Adjective	46	Unmilled, unfulled, undressed, unprocessed, new.
47	agneia	Hagneia	hag-ni'-ah	Noun Feminine	47	Purity, sinlessness of life.
48	agnizw	Hagnizo	hag-nid'-zo	Verb	48	1. Ceremonially.\    A. To make pure, purify, cleanse.\2. Morally.
49	agnismoV	Hagnismos	hag-nis-mos'	Noun Masculine	49	Purification, expiation.
50	agnoew	Agnoeo	ag-no-eh'-o	Verb	50	1. To be ignorant, not to know.\2. Not to understand, unknown.\3. To err or sin through mistake, to be wrong.
51	agnohma	Agnoema	ag-no'-ay-mah	Noun Neuter	51	A sin committed through ignorance or thoughtlessness.
52	agnoia	Agnoia	ag'-noy-ah	Noun Feminine	52	1. Lack of knowledge, ignorance.\    A. Esp. of divine things.\    B. Of moral blindness.
53	agnoV	Hagnos	hag-nos'	Adjective	53	1. Exciting reverence, venerable, sacred.\2. Pure.\    A. Pure from carnality, chaste, modest.\    B. Pure from every fault, immaculate.\    C. Clean.
54	agnothV	Hagnotes	hag-not'-ace	Noun Feminine	54	Purity, chastity, uprightness of life.
55	agnwV	Hagnos	hag-noce'	Adverb	55	Chaste, clean, pure, with sincerity.
56	agnwsia	Agnosia	ag-no-see'-ah	Noun Feminine	56	Not knowing, ignorance.
57	agnwstoV	Agnostos	ag'-noce-tos'	Adjective	57	Unknown, forgotten.
58	agora	Agora	ag-or-ah'	Noun Feminine	58	1. Any assembly, especially of the people.\2. The place of assembly.\    A. For public debating.\    B. For elections.\    C. For trials.\    D. For buying and selling.\    E. For all kinds of business.\3. Market place, street.
59	agorazw	Agorazo	ag-or-ad'-zo	Verb	59	1. To be in the market place, to attend it.\2. To do business there, buy or sell.\3. Of idle people: to haunt the market place, lounge there.
60	agoraioV	Agoraios	ag-or-ah'-yos	Adjective	60	1. In, of or belonging to the market place.\2. Frequenting the market place.\    A. Hucksters, petty traffickers, retail dealers.\    B. Idlers, loungers, the common sort, low, mean vulgar.\3. Generally, proper to the assembly, suited to forensic speaking, business-like transactions.
61	agra	Agra	ag'-rah	Noun Feminine	61	1. A catching, hunting.\2. That which is taken in hunting, the booty, prey.\    A. Of birds or beasts, game.\    B. Of fish, a draught or haul.
62	agrammatoV	Agrammatos	ag-ram-mat-os	Adjective	62	Illiterate, unlearned.
63	agraulew	Agrauleo	ag-row-leh'-o	Verb	63	To live in the fields, be under the open sky, even at night.
64	agreuw	Agreuo	ag-rew'-o	Verb	64	1. To hunt, to take by hunting, catch.\2. Metaph. to hunt after, pursue eagerly.
65	agrielaioV	Agrielaios	ag-ree-el'-ah-yos	Adjective	65	1. Of or belonging to the oleaster or wild olive.\2. The oleaster, wild olive tree.
66	agrioV	Agrios	ag'-ree-os	Adjective	66	1. Living or growing in the fields or woods.\    A. Of animals, wild, savage.\    B. Of countries, wild, uncultivated, unreclaimed.\2. Of men and animals in a moral sense, wild savage, fierce.\    A. Boorish, rude.\    B. Of any violent passion, vehement, furious.
67	AgrippaV	Agrippas	ag-rip'-pas	Noun Masculine	67	Agrippa = "Hero like".\Name of a ruling family in Israel at the time of Jesus.
68	agroV	Agros	ag-ros'	Noun Masculine	68	1. Land.\    A. The field, the country.\    B. A piece of land, bit of tillage.\    C. The farms, country seats, neighbouring hamlets.
69	agrupnew	Agrupneo	ag-roop-neh'-o	Verb	69	1. To be sleepless, keep awake, watch.\2. To be circumspect, to be attentive, to be ready.
70	agrupnia	Agrupnia	ag-roop-nee'-ah	Noun Feminine	70	Sleeplessness, watching.
71	agw	Ago	ag'-o	Verb	71	1. To lead, take with one.\    A. To lead by laying hold of, and this way to bring to the point of destination: of an animal.\    B. To lead by accompanying to (into) a place.\    C. To lead with one's self, attach to one's self as an attendant.\    D. To conduct, bring.\    E. To lead away, to a court of justice, magistrate, etc.\2. To lead,\    A. To lead, guide, direct.\    B. To lead through, conduct to: to something.\    C. To move, impel: of forces and influences on the mind.\3. To pass a day, keep or celebrate a feast, etc.\4. To go, depart.
72	agwgh	Agoge	ag-o-gay'	Noun Feminine	72	1. A leading.\2. Metaph.: conduct.\    A. A conducting, training, education, discipline.\    B. The life led, way or course of life.
73	agwn	Agon	ag-one'	Noun Masculine	73	1. An assembly,\    A. A place of assembly: especially an assembly met to see games.\    B. The place of contest, the arena or stadium.\2. The assembly of the Greeks at their national games.\    A. Hence the contest for a prize at their games.\    B. Generally, any struggle or contest.\    C. A battle.\    D. An action at law, trial.
74	agwnia	Agonia	ag-o-nee'-ah	Noun Feminine	74	1. A struggle for victory.\    A. Gymnastic exercise, wrestling.\2. Of severe mental struggles and emotions, agony, anguish.
75	agwnizomai	Agonizomai	ag-o-nid'-zom-ahee	Verb	75	1. To enter a contest: contend in the gymnastic games.\2. To contend with adversaries, fight.\3. Metaph. to contend, struggle, with difficulties and dangers.\4. To endeavour with strenuous zeal, strive: to obtain something.
76	Adam	Adam	ad-am'	Noun Masculine	76	Adam = "the red earth".\Adam, the first man, the parent of the whole human family.
77	adapanoV	Adapanos	ad-ap'-an-os	Adjective	77	Without expense, requiring no outlay, costing nothing.
78	Addi	Addi	ad-dee'	Noun Masculine	78	Addi = "ornament".\Son of Cosam, and father of Melchi in our Lord's genealogy.
79	adelfh	Adelphe	ad-el-fay'	Noun Feminine	79	1. A full, own sister.\2. One connected by the tie of the Christian religion.
80	adelfoV	Adelphos	ad-el-fos'	Noun Masculine	80	1. A brother, whether born of the same two parents or only of the same father or mother.\2. Having the same national ancestor, belonging to the same people, or countryman.\3. Any fellow or man.\4. A fellow believer, united to another by the bond of affection.\5. An associate in employment or office.
81	adelfothV	Adelphotes	ad-el-fot'-ace	Noun Feminine	81	1. Brotherhood, brotherly kindness.\2. A family of brothers, the brotherhood.
82	adhloV	Adelos	ad'-ay-los	Adjective	82	Not manifest, indistinct, uncertain, obscure.
83	adhlothV	Adelotes	ad-ay-lot'-ace	Noun Feminine	83	Uncertainty.
84	adhlwV	Adelos	ad-ay'-loce	Adverb	84	Uncertainly.
85	adhmonew	Ademoneo	ad-ay-mon-eh'-o	Verb	85	1. To be troubled, great distress or anguish, depressed.
86	adhV	Hades	hah'-dace	Noun Location	86	1. Name Hades or Pluto, the god of the lower regions. The Afterlife.\2. Orcus, the realm of the dead.\3. Later use of this word: the grave.
87	adiakritoV	Adiakritos	ad-ee-ak'-ree-tos	Adjective	87	1. Undistinguished, unintelligible.\2. Without dubiousness, ambiguity or uncertainty.
88	adialeiptoV	Adialeiptos	ad-ee-al'-ipe-tos	Adjective	88	Unintermitted, unceasing, continual.
89	adialeiptwV	Adialeiptos	ad-ee-al-ipe'-toce	Adverb	89	Without intermission, incessantly, without ceasing.
90	adiafqoria	Adiaphthoria	ad-ee-af-thor-ee'-ah		90	AV - uncorruptness.
91	adikew	Adikeo	ad-ee-keh'-o	Verb	91	1. Absolutely.\    A. To act unjustly or wickedly, to sin,\    B. To be a criminal, to have violated the laws in some way.\    C. To do wrong.\    D. To do hurt.\2. Transitively.\    A. To do some wrong or sin in some respect.\    B. To wrong some one, act wickedly towards him.\    C. To hurt, damage, harm.
92	adikhma	Adikema	ad-eek'-ay-mah	Noun Neuter	92	A misdeed, evil doing, iniquity.
93	adikia	Adikia	ad-ee-kee'-ah	Noun Feminine	93	1. Injustice, of a judge.\2. Unrighteousness of heart and life.\3. A deed violating law and justice, act of unrighteousness.
94	adikoV	Adikos	ad'-ee-kos	Adjective	94	1. Descriptive of one who violates or has violated justice.\    A. Unjust.\    B. Unrighteous, sinful.\    C. Of one who deals fraudulently with others, deceitful.
95	adikwV	Adikos	ad-ee'-koce	Adverb	95	Unjustly, undeserved, without fault.
96	Admin	Adokimos	ad-ok'-ee-mos	Adjective	96	1. Not standing the test, not approved.\    A. Properly used of metals and coins.\2. That which does not prove itself such as it ought.\    A. Unfit for, unproved, spurious, reprobate.
97	adoloV	Adolos	ad'-ol-os	Adjective	97	1. Guileless.\    A. In things: unmixed, unadulterated, pure.\    B. In persons: without dishonest intent, guileless.
98	AdramutthnoV	Adramuttenos	ad-ram-oot-tay-nos'	Noun Location	98	Adramyttium = "I shall abide in death".\Adramyttium, a seaport of Mysia.
99	AdriaV	Adrias	ad-ree'-as	Noun Location	99	Adriatic = "without wood".\Adriatic Sea, Adrias, the sea between Greece and Italy.
100	adrothV	Hadrotes	had-rot'-ace	Noun Feminine	100	1. Bountiful collection, great abundance.\2. Thickness, ripeness, fullness, esp. of the body.
101	adunatew	Adunateo	ad-oo-nat-eh'-o	Verb	101	1. Impossible.\    A. Not to have strength, power, or ability, to be weak.\    B. Can not be done, to be impossible.
102	adunatoV	Adunatos	ad-oo'-nat-os	Adjective	102	1. Without strength, impotent, powerless, weakly, disabled.\2. Unable to be done, impossible.
103	adw	Ado	ad'-o	Verb	103	To the praise of anyone, to sing.
104	aei	Aei	ah-eye'	Adverb	104	1. Perpetually, incessantly.\2. Invariably, at any and every time: when according to the circumstances something is or ought to be done again.
105	aetoV	Aetos	ah-et-os'	Noun Masculine	105	1. An eagle: since eagles do not usually go in quest of carrion, this may to a vulture that resembles an eagle.\2. An eagle as a standard (Roman Military).
106	azumoV	Azumos	ad'-zoo-mos	Adjective	106	1. Unfermented, free from leaven or yeast.\    A. Of the unleavened loaves used in the paschal feast of the Jews.\    B. Metaph. free from faults or the "leaven of iniquity".
107	Azwr	Azor	ad-zore'	Noun Masculine	107	Azor = "helper".\A son of Eliakim, in the line of our Lord. Mat. 1:13,14.
108	AzwtoV	Azotos	ad'-zo-tos	Noun Location	108	Ashdod or Azotus = "a stronghold".\One of the five chief cities of the Philistines, lying between Ashkelon and Jamnia and near the Mediterranean.
109	ahr	Aer	ah-ayr'	Noun Masculine	109	1. The air, particularly the lower and denser air as distinguished from the higher and rarer air.\2. The atmospheric region.
110	aqanasia	Athanasia	ath-an-as-ee'-ah	Noun Feminine	110	Undying, immortality, everlasting.
111	aqemitoV	Athemitos	ath-em'-ee-tos	Adjective	111	Contrary to law and justice, prohibited by law, illicit, criminal.
112	aqeoV	Atheos	ath'-eh-os	Adjective	112	1. Without God, knowing and worshipping no God.\2. Denying the gods, esp. the recognized gods of the state.\3. Godless, ungodly.\4. Abandoned by the gods.
113	aqesmoV	Athesmos	ath'-es-mos	Adjective	113	One who breaks through the restraint of law and gratifies his lusts.
114	aqetew	Atheteo	ath-et-eh'-o	Verb	114	1. To do away with, to set aside, disregard.\2. To thwart the efficacy of anything, nullify, make void, frustrate.\3. To reject, to refuse, to slight.
115	aqethsiV	Athetesis	ath-et'-ay-sis	Noun Feminine	115	Abolition, disannulling, put away, rejection.
116	Aqhnai	Athenai	ath-ay-nahee	Noun Location	116	Athens = "uncertainty".\A famous city in Greece, the capital of Attica, and the chief seat of learning and civilisation during the golden period of the history of Greece.
117	AqhnaioV	Athenaios	ath-ay-nah'-yos	Adjective	117	A person who lives in Athens, an Athenian.
118	aqlew	Athleo	ath-leh'-o	Verb	118	1. To engage in a contest, contend in public games, contend for a prize.\2. To endure, suffer.
119	aqlhsiV	Athlesis	ath'-lay-sis	Noun Feminine	119	To contest, to combat, to strive, struggle, hard trial.
120	aqroizw	Athumeo	ath-oo-meh'-o	Verb	120	To be disheartened, dispirited, broken in spirit.
121	aqwoV	Athoos	ath'-o-os	Adjective	121	Not guilty, innocent, unpunished.
122	aigeioV	Aigeos	ah'-ee-ghi-os	Adjective	122	Of a goat, goatskin.
123	aigialoV	Aigialos	ahee-ghee-al-os'	Noun Masculine	123	The shore of the sea, the beach.
124	AiguptioV	Aiguptios	ahee-goop'-tee-os	Adjective	124	An Egyptian.
125	AiguptoV	Aiguptos	ah'-ee-goop-tos	Noun Location	125	Egypt = "double straits".\1. A country occupying the northeast angle of Africa.\2. Metaph. Jerusalem, for the Jews persecuting Jesus and his followers, and so to be likened to the Egyptians treating the Jews.
126	aidioV	Aidios	ah-id'-ee-os	Adjective	126	Eternal, everlasting.
127	aidwV	Aidos	ahee-doce'	Noun Feminine	127	A sense of shame or honour, modesty, bashfulness, reverence, regard for others, respect.
128	Aiqioy	Aithiops	ahee-thee'-ops	Noun Masculine	128	Ethiopian = "black".\An Ethiopian.
129	aima	Haima	hah'-ee-mah	Noun Masculine	129	1. Blood.\    A. Of man or animals.\    B. Refers to the seat of life.\    C. Of those things that resemble blood, grape juice.\2. Blood shed, to be shed by violence, slay, murder.
130	aimatekcusia	Haimatekchusia	hahee-mat-ek-khoo-see'-ah	Noun Feminine	130	Shedding of blood.
131	aimorroew	Haimorrheo	hahee-mor-hreh'-o	Verb	131	To suffer from a flow of blood, to have a discharge of blood, to lose blood.
132	AineaV	Aineas	ahee-neh'-as	Noun Masculine	132	Aeneas = "laudable".\The name of a paralytic cured by Peter at Lydia.
133	ainesiV	Ainesis	ah'-ee-nes-is	Noun Feminine	133	Praise, a thank offering.
134	ainew	Aineo	ahee-neh'-o	Verb	134	1. To praise, extol, to sing praises in honour to God.\2. To allow, recommend.\3. To promise or vow.
135	ainigma	Ainigma	ah'-ee-nig-ma	Noun Neuter	135	1. An obscure saying, enigma, riddle.\2. An obscure thing.
136	ainoV	Ainos	ah'-ee-nos	Noun Masculine	136	1. A saying, proverb.\2. Praise, laudatory discourse.
137	Ainwn	Ainon	ahee-nohn'	Noun Location	137	Aenon meaning "springs".\The name of a place "near to Salim" at which John baptised.
138	airew	Haireomai	hahee-reh'-om-ahee	Verb	138	1. To take for oneself, to prefer, choose.\2. To choose by vote, elect to office.
139	airesiV	Hairesis	hah'-ee-res-is	Noun Feminine	139	1. Act of taking, capture: e.g. storming a city.\2. Choosing, choice.\3. That which is chosen.\4. A body of men following their own tenets (sect or party).\    A. Of the Sadducees.\    B. Of the Pharisees.\    C. Of the Christians.\5. Dissensions arising from diversity of opinions and aims.
140	airetizw	Hairetizo	hahee-ret-id'-zo	Verb	140	1. To choose.\2. To belong to a sect.
141	airetikoV	Hairetikos	hahee-ret-ee-kos'	Adjective	141	1. Fitted or able to take or choose a thing.
142	airw	Airo	ah'-ee-ro	Verb	142	1. To raise up, elevate, lift up.\    A. To raise from the ground, take up: stones.\    B. To raise upwards, elevate, lift up: the hand.\    C. To draw up: a fish.\2. To take upon one's self and carry what has been raised up, to bear.\3. To bear away what has been raised, carry off.\    A. To move from its place.\    B. To take off or away what is attached to anything.\    C. To remove.\    D. To carry off, carry away with one.\    E. To appropriate what is taken.\    F. To take away from another what is his or what is committed to him, to take by force.\    G. To take and apply to any use.\    H. To take from among the living, either by a natural death, or by violence.\    I. Cause to cease.
143	aisqanomai	Aisthanomai	ahee-sthan'-om-ahee	Verb	143	1. To perceive.\    A. By the bodily senses.\    B. With the mind, understand.
144	aisqhsiV	Aisthesis	ah'-ee-sthay-sis	Noun Feminine	144	1. Perception, not only by the senses but by the intellect.\2. Cognition, discernment.\    A. Of moral discernment in ethical matters.
145	aisqhthrion	Aistheterion	ahee-sthay-tay'-ree-on	Noun Neuter	145	Faculty of the mind for perceiving, understanding, judging.
146	aiscrokerdhV	Aischrokerdes	ahee-skhrok-er-dace'	Adjective	146	Eager for base gain, greedy for money.
147	aiscrokerdwV	Aischrokerdos	ahee-skhrok-er-doce'	Adverb	147	Eagerness for base gain.
148	aiscrologia	Aischrologia	ahee-skhrol-og-ee'-ah	Noun Feminine	148	Foul speaking, low and obscene speech.
149	aiscron	Aischron	ahee-skhron'	Noun Neuter	149	Shame, base, dishonourable.
150	aiscroV	Aischros	ahee-skhros'	Adjective	150	Filthy, baseness, dishonour.
151	aiscrothV	Aischrotes	ahee-skhrot'-ace	Noun Feminine	151	Obscenity, filthiness.
152	aiscunh	Aischune	ahee-skhoo'-nay	Noun Feminine	152	1. The confusion of one who is ashamed of anything, sense of shame.\2. Ignominy, disgrace, dishonour.\3. A thing to be ashamed of.
153	aiscunw	Aischuno	ahee-skhoo'-no	Verb	153	1. To disfigure.\2. To dishonour.\3. To suffuse with shame, make ashamed, be ashamed.
154	aitew	Aiteo	ahee-teh'-o	Verb	154	To ask, beg, call for, crave, desire, require.
155	aithma	Aitema	ah'-ee-tay-mah	Noun Neuter	155	Petition, request, required.
156	aitia	Aitia	ahee-tee'-a	Noun Feminine	156	1. Cause, reason.\2. Cause for which one is worthy of punishment, crime.\3. Charge of crime, accusation.
157	aitiama	Aitiama	ahee-tee'-am-ah	Noun Neuter	157	To accuse, bring a charge against, complaint.
158	aition	Aition	ah'-ee-tee-on	Noun Neuter	158	Cause, fault.
159	aitioV	Aitios	ah'-ee-tee-os	Adjective	159	1. That which is the cause of anything resides, causative, causing.\    A. The author.\        1. Of a cause.\        2. Of crime or offence.
160	aifnidioV	Aiphnidios	aheef-nid'-ee-os	Adjective	160	Unexpected, sudden, unforeseen.
161	aicmalwsia	Aichmalosia	aheekh-mal-o-see'-ah	Noun Feminine	161	Captivity.
162	aicmalwteuw	Aichmaloteuo	aheekh-mal-o-tew'-o	Verb	162	To make captive, take captive, capture.
163	aicmalwtizw	Aichmalotizo	aheekh-mal-o-tid'-zo	Verb	163	1. To lead away captive.\2. Metaph. to capture ones mind, captivate.
164	aicmalwtoV	Aichmalotos	aheekh-mal-o-tos'	Adjective	164	A captive.
165	aiwn	Aion	ahee-ohn'	Noun Masculine	165	1. For ever, an unbroken age, perpetuity of time, eternity.\2. The worlds, universe.\3. Period of time, age.
166	aiwnioV	Aionios	ahee-o'-nee-os	Adjective	166	1. Without beginning and end, that which always has been and always will be.\2. Without beginning.\3. Without end, never to cease, everlasting.
167	akaqarsia	Akatharsia	ak-ath-ar-see'-ah	Noun Feminine	167	1. Uncleanness.\    A. Physical.\    B. In a moral sense: the impurity of lustful, luxurious, profligate living.\        1. Of impure motives.
168	akaqarthV	Akathartes	ak-ath-ar'-tace	Noun Feminine	168	Impurity, filthiness.
169	akaqartoV	Akathartos	ak-ath'-ar-tos	Adjective	169	1. Not cleansed, unclean.\    A. In a ceremonial sense: that which must be abstained from according to the levitical law.\    B. In a moral sense: unclean in thought and life.
170	akaireomai	Akaireomai	ak-ahee-reh'-om-ahee	Verb	170	To lack opportunity.
171	akairwV	Akairos	ak-ah'-ee-roce	Adverb	171	Unseasonable.
172	akakoV	Akakos	ak'-ak-os	Adjective	172	1. Without guile or fraud, harmless, free from guilt.\2. Fearing no evil from others, distrusting no one.
173	akanqa	Akantha	ak'-an-thah	Noun Feminine	173	1. Thorn, bramble.\2. Bush, brier, a thorny plant.
174	akanqinoV	Akanthinos	ak-an'-thee-nos	Adjective	174	Thorny, woven out of twigs of a thorny plant.
175	akarpoV	Akarpos	ak'-ar-pos	Adjective	175	Metaph. without fruit, barren, not yielding what it ought to yield.
176	akatagnwstoV	Akatagnostos	ak-at-ag'-noce-tos	Adjective	176	That cannot be condemned, not to be censored.
177	akatakaluptoV	Akatakaluptos	ak-at-ak-al'-oop-tos	Adjective	177	Not covered, unveiled.
178	akatakritoV	Akatakritos	ak-at-ak'-ree-tos	Adjective	178	Uncondemned, punished without being tried.
179	akatalutoV	Akatalutos	ak-at-al'-oo-tos	Adjective	179	Indissoluble, not subject to destruction.
180	akatapaustoV	Akatapaustos	ak-at-ap'-ow-stos	Adjective	180	1. Unable to stop, unceasing.\2. Not quieted, that cannot be quieted.
181	akatastasia	Akatastasia	ak-at-as-tah-see'-ah	Noun Feminine	181	Instability, a state of disorder, disturbance, confusion.
182	akatastatoV	Akatastatos	ak-at-as'-tat-os	Adjective	182	Unstable, inconstant, restless.
183	akatascetoV	Akataschetos	ak-at-as'-khet-os	Adjective	183	That can not be restrained.
184	Akeldamac	Akeldama	ak-el-dam-ah'	Noun Location	184	Aceldama = "Field of Blood".\A field said to be purchased with Judas's betrayal money, located near Jerusalem.
185	akeraioV	Akeraios	ak-er'-ah-yos	Adjective	185	1. Unmixed, pure as in wines or metals.\2. Of the mind, without a mixture of evil, free from guile, innocent, simple.
186	aklinhV	Aklines	ak-lee-nace'	Adjective	186	Not inclining, firm, unmoved.
187	akmazw	Akmazo	ak-mad'-zo	Verb	187	To flourish, come to maturity.
188	akmhn	Akmen	ak-mane'	Adverb	188	1. A point.\2. Extremity, climax, acme, highest degree.\3. The present time.
189	akoh	Akoe	ak-o-ay'	Noun Feminine	189	1. The sense of hearing.\2. The organ of hearing, the ear.\3. The thing heard.\    A. Instruction, namely oral.\        1. Of preaching the gospel.\    B. Hearsay, report or rumour.
190	akolouqew	Akoloutheo	ak-ol-oo-theh'-o	Verb	190	1. To follow one who precedes, join him as his attendant, accompany him.\2. To join one as a disciple, become or be his disciple.\    A. Side with his party.
