ID	INDEX	LIST
142	0	take,to bear away,to carry away,to elevate,to lift up,to take,to take away,to take up
143	0	to be understood,to perceive,to sense,to understand
144	0	judgment
145	0	perceiving,senses,understands,understood
146	0	eager for base gain,given to filthy lucre,greedy,greedy of filthy lucre
147	0	for filthy lucreeagerness for base gain
148	0	filthy communication,foul speaking,low speech,obscene speech
149	0	base,dishonourable,shame
150	0	baseness,dishonour,filthy
151	0	filthiness,obscenity
152	0	ashamed,disgrace,dishonesty,dishonour,ignominy,sense of shame,shame
153	0	to be ashamed,to disfigure,to dishonour,to make ashamed,to suffuse with shame
154	0	ask,asking,to ask,to beg,to call for,to crave,to desire,to require
155	0	petition,request,require
156	0	accusation,case,cause,crime,fault,reason
157	0	to accuse,to bring a charge against,to complaint
158	0	cause,fault
159	0	author
160	0	sudden,unawares,unexpected,unforeseen
161	0	captivity
162	0	to capture,to lead captive,to make captive,to take captive
163	0	to bring into captivity,to lead away captive
164	0	captive
165	0	age,eternal,ever,evermore,never,world
166	0	eternal,everlasting,for ever,since the world began,the world began
167	0	uncleanness
168	0	filthiness,impurity
169	0	foul,foulness,unclean
170	0	to lack opportunity
171	0	out of season,unseasonable
172	0	distrusting no one,fearing no evil from others,free from guilt,harmless,simple,without guile or fraud
173	0	a thorny plant,bramble,brier,bush,thorn,thorns,thorny
174	0	of thorns,thorny,woven out of twigs of a thorny plant
175	0	unfruitful,without fruit
176	0	cannot be censored,cannot be condemned
177	0	not covered,uncovered,unveiled
178	0	punished without being tried,uncondemned
179	0	endless,indissoluble,not subject to destruction
180	0	cannot be quieted,cannot cease,not quieted,unable to stop,unceasing
181	0	a state of disorder,commotion,confusion,disturbance,instability,tumult
182	0	inconstant,restless,unstable
183	0	cannot be restrained,unruly
184	0	Aceldama
185	0	free from guile,harmless,innocent,simple,unmixed
186	0	firm,not inclining,unmoved,without wavering
187	0	to be fully ripe,to come to maturity,to flourish
188	0	yet
189	0	audience,ears,fame,hearing,report,rumour
190	0	accompany,accompanying,to accompany,to follow,to join
191	0	comprehend,heard,hearing,is hearing,to be heard,to give audience,to hear,to hearken,understand,you have heard
192	0	excess,incontinence,incontinency,intemperance
193	0	incontinent,intemperate
194	0	without mixture
195	0	exactest care,exactness,perfect manner
196	0	careful,exact,most straitest
197	0	more perfect,more perfectly
198	0	to do exactly,to enquire diligently,to investigate diligently,to know accurately
199	0	accurately,circumspectly,diligently,exactly,perfect,perfectly
200	0	locust
201	0	place of hearing
202	0	hearer
203	0	Gentile,though not circumcised,uncircumcised,uncircumcision
204	0	chief corner
205	0	spoils,the first fruits
206	0	end,extreme,highest,the farthest bounds,tip,top,uttermost part,uttermost parts
207	0	Aquila
208	0	to deprive of force and authority,to disannul,to make of none effect,to render void
209	0	freely,no man forbidding him,without hindrances
210	0	against one's will,against the will,not of one's own will,unwillingly
211	0	alabaster box,box
212	0	boasting,braggart talk,pride
213	0	a boaster,an empty pretender,boaster
214	0	to clang,to lament,to ring loudly,to tinkle,to utter a joyful sound,to wail
215	0	not expressed in words,not to be uttered,which cannot be uttered
216	0	dumb,speechless,wanting the faculty of speech
217	0	salt
218	0	to anoint
219	0	cockcrowing
220	0	cock
221	0	Alexandrian,born at Alexander
222	0	of Alexandria
223	0	Alexander
224	0	meal,wheat flour
225	0	true,truly,truth,verity
226	0	to profess the truth,to speak the truth,to teach the truth,to tell the truth
227	0	loving the truth,speaking the truth,true,truly,truth,truthful
228	0	true,Truth
229	0	grinding,to grind
230	0	in reality,indeed,most certainly,of a truth,surely,truly,very
231	0	a fisher,a fisherman,fisher
232	0	to fish
233	0	season with salt,sprinkle with salt,to salt
234	0	condemnation,pollution
235	0	but,howbeit,nay,nevertheless,notwithstanding,rather,save,therefore,yea,yet
236	0	to change,to exchange one thing for another,to transform
237	0	from another place,some other way
238	0	to speak allegorically,to speak in a figure
239	0	alleluia
240	0	mutually,one another,reciprocally,themselves,yourselves
241	0	alien,foreigner,stranger
242	0	to gush up,to leap,to spring up
243	0	another,other,the other
244	0	a busybody in other men's matters,busybody,meddler
245	0	alien,another man's,foreign,foreigner,other,other men's,strange,stranger
246	0	foreign,one of another nation
247	0	otherwise
248	0	to thresh,to tread out the corn
249	0	absurd,brute,contrary to reason,destitute of reason,unreasonable
250	0	aloes
251	0	salt
252	0	salt
253	0	free from grief,free from pain,less sorrowful
254	0	bonds,chain
255	0	hurtful,pernicious,unprofitable
256	0	Alphaeus,Ascention
257	0	threshing floor
258	0	fox,sly
259	0	a catching,to be taken,to capture
260	0	at once,at the same time,together with,togetherprep
261	0	ignorant,unlearned
262	0	perpetuity,that fadeth not away
263	0	not fading away,perennial,that fadeth not away,unfading
264	0	to be mistaken,to err,to miss the mark,to wander from the path of uprightness and honour
265	0	evil deed,sin
266	0	a mistake,mistake,mistakes,of mistakes,to be mistaken,to err,to miss the mark,to wander from the path of uprightness and honour,transgression
267	0	unattested,without testimony,without witness
268	0	a sinner,not free from sin,sinners
269	0	abstaining from fighting,invincible,no brawler,not a brawler,not contentious,not to be withstood
270	0	to mow down,to reap,to reap down
271	0	amethyst
272	0	to be negligent,to make light of,to neglect,to regard not
273	0	blameless,deserving no censure,free from fault
274	0	blameless
275	0	free from anxiety,free from care,secure,without carefulness
276	0	fixed,immutability,immutable,not to be transferred,not transposed,unalterable
277	0	unmoveable,unmoved
278	0	not repentant of,not to be repented of,unregretted,without repentance
279	0	impenitent,unrepented
280	0	immense,things without measure,without measure
281	0	amen,verily
282	0	unmotherly,without mother
283	0	undefiled,unsoiled
284	0	Aminadab
285	0	sand,sandy ground
286	0	lamb
287	0	recompence,requital,requite
288	0	vine
289	0	a vinedresser,dresser of vineyard
290	0	vineyard
291	0	Amplias
292	0	to aid or assist anyone,to defend,to defend one's self,to keep off,to take vengeance,to ward off
293	0	chains,net
294	0	clothes,to clothe,to put on
295	0	Amphipolis
296	0	place where two ways meet,road,street
297	0	both
298	0	blameless,cannot be censured,without rebuke
299	0	faultless,unblameable,without blame,without fault,without rebuke,without spot
300	0	Amon
301	0	Amos
302	0	an many as,what things so ever,what things soever,whatsoever,whensoever,whereinsoever,wheresoever,wherewith soever,whithersoever,whomsoever,whose soever,whosoever
303	0	amidst,among,apiece,between,by,in the midst,into the midst
304	0	stairs
305	0	arising,to arise,to ascend,to ascend up,to climb up,to come,to come up,to enter,to go up,to grow up,to rise up,to spring up
306	0	to defer,to postpone,to put off
307	0	to cause to ascend,to cause to go up,to draw,to draw up
308	0	to look,to look up,to receive sight,to see
309	0	recovering of sight
310	0	to cry,to cry aloud,to cry out,to raise a cry
311	0	delay,putting off
312	0	to announce,to bring back tidings,to declare,to make known,to rehearse,to report,to show,to speak,to tell
313	0	to be born again,to be born anew,to begat again,to produce again
314	0	to acknowledge,to distinguish between,to know accurately,to read,to recognise
315	0	to compel,to constrain
316	0	indispensable,more needful,near,necessary,of necessity
317	0	by constraint,by force,constrain
318	0	distress,must needs,must of necessity,necessary,necessity,need,needful
319	0	to be made known,to recognise
320	0	a knowing again,knowing,owning,reading
321	0	to bring,to depart,to launch,to lead up,to loose,to put to sea,to sail,to set sail
322	0	to appoint,to show
323	0	announcing,pointing out,proclaiming,showing
324	0	to assume,to entertain,to receive,to take up,to take upon's self,to undertake
325	0	to deliver,to give forth,to hand over,to send up
326	0	to be alive again,to live again,to revive
327	0	to make diligent search,to search through,to seek,to seek out
328	0	to be prepared,to gird up
329	0	to inflame one's mind,to kindle up,to stir up
330	0	to flourish,to flourish again,to grow green again,to shoot up,to sprout again
331	0	an offering
332	0	to bind under a curse,to bind under a great curse,to bind with an oath,to curse,to devote to destruction
333	0	to behold,to consider,to consider well,to look at attentively,to observe accurately
334	0	gift,offering
335	0	importunity,impudence,shamelessness
336	0	a destroying,killing,murder
337	0	slayers,to do,to kill,to put to death,to slay,to take away,to take up
338	0	blameless,guiltless,innocent
339	0	to sit erect,to sit up
340	0	to renew,to renovate
341	0	to make new,to renew
342	0	a renewal,renewing,renovation
343	0	to open,to uncover,to untaken away,to unveil
344	0	to bend back,to return,to turn again,to turn back
345	0	to be set down,to dine,to eat together,to lean,to lie,to lie at a table,to sit,to sit down
346	0	summarizing,to condense into a summary,to repeat summarily,to sum up
347	0	to lay,to make sit down,to sit down
348	0	to beat back,to check,to hinder
349	0	to cry out,to raise a cry from the depth of the throat
350	0	to ask question,to discern,to examine,to judge,to search
351	0	examination
352	0	to lift up one's self,to look up
353	0	rises,to be received up,to raise,to receive up,to take,to take up
354	0	a taking up,take up
355	0	to consume,to expend,to use up
356	0	proportion
357	0	to consider,to ponder,to think over
358	0	lose saltness,unsalted,without salt
359	0	departure,dissolving,unloosing
360	0	to break up,to depart,to depart from life,to return,to undo again,to unloose
361	0	sinless,without sin
362	0	to wait for
363	0	to admonish,to bring to remembrance,to call to mind,to call to remembrance,to put to remembrance,to remember,to remember and weigh well and consider,to remind
364	0	a remembering,recollection,remembrance,remembrance again
365	0	to renew
366	0	to recover one's self,to return to soberness
367	0	Ananias
368	0	not to be contradicted,undeniable
369	0	without contradiction
370	0	unfit,unworthy
371	0	in an unworthy manner
372	0	rest,to rest
373	0	to give rest,to refresh,to rest,to take ease,to take rest
374	0	to incite,to persuade,to solicit,to stir up
375	0	to send,to send again,to send back,to send up
376	0	crippled,maimed
377	0	to be set down,to lean,to lie back,to lie down,to recline at a table,to sit back,to sit down
378	0	to fill up,to fulfil,to occupy,to supply
379	0	inexcusable,without excuse
380	0	to open,to unroll
381	0	to kindle,to light up
382	0	innumerable
383	0	to excite,to move,to rouse,to shake up,to stir up
384	0	to subvert,to unsettle
385	0	to draw out,to draw up,to pull out
386	0	raised to life again,resurrection,rising again,that should rise
387	0	to excite,to make an uproar,to stir up,to trouble,to turn upside down,to unsettle,to upset
388	0	to crucify,to raise up upon a cross
389	0	to sigh deeply
390	0	to overthrow,to overturn,to pass,to return,to sojourn dwell in a place,to turn back,to turn hither and thither,to turn one's self about,to turn upside down
391	0	behaviour,conduct,deportment,manner of life
392	0	to arrange,to compose,to put together in order,to set forth in order
393	0	to arise,to at the rising of,to be descended from,to be up,to cause to rise,to make rise,to rise
394	0	to communicate,to declare
395	0	dayspring,east,the east
396	0	to destroy,to overthrow,to overturn,to subvert
397	0	to bring up,to nourish,to nourish up
398	0	to appear,to be made apparent,to bring to light,to discover,to hold up to view,to show
399	0	to bear,to bring up,to carry up,to lead up,to offer,to offer up,to sustain
400	0	to call aloud,to cry out with a loud voice,to exclaim,to speak out
401	0	excess,overflowing,pouring out
402	0	to depart,to give place,to go aside,to go back,to return,to turn aside,to withdraw one's self
403	0	a cooling,refreshing
404	0	to cool again,to cool off,to recover breath,to refresh,to refresh one's self,to revive,to take the air
405	0	manstealer
406	0	Andrew
407	0	to be brave,to make brave
408	0	Andronicus
409	0	manslayer,murderer
410	0	blameless,unreproveable
411	0	indescribable,unspeakable
412	0	unspeakable
413	0	unfailing
414	0	bearable,tolerable
415	0	merciless,unmerciful,without mercy
416	0	to agitate,to drive by the wind
417	0	wind
418	0	cannot be admitted,impossible,improper,inadmissible,unallowable
419	0	unsearchable
420	0	forbearing,patient
421	0	cannot be comprehended,past finding out,unsearchable
422	0	no need to be ashamed,that needeth not to be ashamed
423	0	blameless,cannot be laid hold of,cannot be reprehended,irreproachable,not apprehended,not open to censure,unrebukeable
424	0	to go up
425	0	be eased,liberty,relaxing,relief,rest
426	0	to examine,to examine judicially,to investigate
427	0	without,without will or intervention
428	0	not commodious,not convenient,not fit
429	0	to find
430	0	to bear,to bear with,to endure,to forbear,to suffer,to sustain
431	0	cousin
432	0	anise
433	0	as was fitting to be fitting,to arrived at,to come up to,to duty,to reach to
434	0	fierce,not tame,savage
435	0	a man,fellow,husband,man,men,sir
436	0	to oppose,to resist,to set against,to withstand
437	0	to agree mutually,to give thanks,to make a compact
438	0	flower
439	0	fire of coals,heap of burning coals
440	0	a burning,coals of fire,live coal
441	0	courters,menpleasers
442	0	after the manner of man,common to man,mankind,man's,of man
443	0	manslayer,murderer
444	0	a man,a person,human being,man,Mankind,of people,people,person,someone
445	0	to be deputy,to be proconsul
446	0	deputy,proconsul
447	0	to calm,to forbear,to give up,to leave,to let sink,to loose,to loosen,to not uphold,to omit,to relax,to send back
448	0	merciless,without mercy
449	0	unwashed,unwashen
450	0	rose,to arise,to be raised,to raise up,to raise up again,to rise,to rise again,to rise up,to stand up
451	0	Anna
452	0	Annas
453	0	fool,foolish,not understanding,not understood,unintelligible,unwise
454	0	folly,madness
455	0	to open
456	0	to build again
457	0	an opening
458	0	iniquity,lawlessness,transgress the law,transgression of the law,unrighteousness
459	0	lawless,transgressor,unlawful,without law
460	0	without law
461	0	to lift up,to make straight,to set up
462	0	impious,unholy,wicked
463	0	forbearance,toleration
464	0	to fight,to strive against,to struggle
465	0	in exchange
466	0	to fill up
467	0	to recompense,to recompense again,to render,to repay
468	0	recompense,requital
469	0	recompense,reward
470	0	to answer again,to answer by contradiction,to contradict in reply,to reply again,to reply against
471	0	to gainsay,to say against
472	0	to endure,to hold back,to hold to,to holdfast,to support,to withstand
473	0	because,for,for ... cause,for that,for this cause,therefore,wherefore
474	0	to throw in turn
475	0	to dispose in turn,to oppose,to oppose one's self,to place one's self in opposition,to retaliate,to take in hand in turn
476	0	adversary,enemy,opponent
477	0	opposition
478	0	to dispose troops,to place in opposition,to put in place of another,to resist,to set an army in line of battle,to stand against
479	0	to bid again,to invite in turn
480	0	to be adverse to,to be contrary,to be set over against,to oppose,to opposite to,to withstand
481	0	opposite,over against
482	0	to help,to lay hold of,to partake of,to partaker,to support
483	0	to contradict,to decline to obey,to deny,to speak against
484	0	apprehension,objection of a disputant,perception,to aid,to help
485	0	contradiction,gainsaying,opposition,rebellion,strife
486	0	to retort railing,to revile again,to revile in turn
487	0	ransom
488	0	to measure again,to measure back,to measure in return,to repay
489	0	recompense,requital
490	0	Antioch
491	0	of Antioch
492	0	to pass by on the other side,to pass by opposite to
493	0	Antipas
494	0	Antipatris
495	0	on the other side,over against
496	0	to be adverse,to fall upon,to oppose,to resist,to run against,to strive against
497	0	to oppose,to war against
498	0	to oppose one's self,to range in battle against,to resist
499	0	figure,like figure whereinto
500	0	adversary of the messiah,antichrist
501	0	to bale,to draw,to draw out,to draw water,to pump out
502	0	bucket,what is drawn
503	0	to bear up into,to look against,to look straight at,to withstand
504	0	dry,without water
505	0	sincere,undisguised,unfeigned
506	0	disobedient,that is not put under,unruly,unsubjected
507	0	above,brim,high,up
508	0	a room in the upper part of a house,above the ground,upper room
509	0	again,from above,from the beginning,from the first,top
510	0	upper
511	0	above,higher,up higher
512	0	unprofitable,unprofitableness,useless
513	0	axe
514	0	as becometh,befitting,having weight,meet,suitably,unworthy,weighing,worthily,worthiness,worthy
515	0	deserving,to deem,to judge worthy,to think fit,to think meet,to think right
516	0	suitably,worthily,worthy
517	0	invisible,invisible things,unseen
518	0	to bring word,to bring word again,to declare,to report,to show,to show again,to tell
519	0	to hang one's self,to strangle to kill,to throttle
520	0	to bring,to carry away,to lead,to lead away,to take away
521	0	ignorant,rude,uneducated,unlearned,without disciple,without instruction
522	0	to lift off,to take,to take away
523	0	to ask back,to demand back,to exact something due,to requite
524	0	to be apathetic,to be insensible to pain,to be past feeling,to bear troubles with greater equanimity,to become callous,to cease to feel pain at,to cease to feel pain or grief
525	0	to be removed,to deliver,to depart,to release,to remove,to set free
526	0	to alienate,to be alien,to be alienated with,to estrange
527	0	tender
528	0	to go to meet,to meet
529	0	to meet
530	0	once,once for all,one time
531	0	inviolable,not to be violated,unchangeable,unviolated
532	0	unprepared
533	0	to deny
534	0	from henceforth,from now,henceforth
535	0	completion,finish
536	0	to offer firstfruits
537	0	all,all together,quite,the whole
538	0	to beguile,to cheat,to deceive
539	0	deceit,deceitful,deceitfulness,deceivableness,deceivings
540	0	without father
541	0	brightness
542	0	to perceive,to see
543	0	disobedient,unbelief
544	0	believe not,disobedient,obey not,unbelieving
545	0	contumacious,disobedient,impersuasible,not compliant
546	0	to menace,to threaten
547	0	straitly,threat,threatening
548	0	to depart,to go away
549	0	to depart,to go away
550	0	to declare,to forbid,to give up,to renounce,to set forth,to speak out
551	0	cannot be tempted
552	0	inexperienced,unskilful,without experience
553	0	look for,patiently waiting for,wait for
554	0	despoil,disarm,put off,spoil
555	0	laying aside,putting off
556	0	to drive,to drive away,to drive off
557	0	censure,nought,repudiate
558	0	freeman
559	0	Apelles
560	0	causing no one to despair,despairing of no one,nothing despairing
561	0	against,before,contrary,in opposition to,in sight of,in the presence of,opposite,over against
562	0	boundless,endless
563	0	without distraction
564	0	uncircumcised
565	0	to depart,to go,to go away,to go one's way,went
566	0	be enough,it is enough,it is sufficient
567	0	to abstain,to hold one's self off,to refrain
568	0	absent,abstain,be,distant,have,it is enough,keep off,prevent,receive,sufficient,to be away,to have received,to have wholly or in full,to hold back,to hold one's self off
569	0	to be unfaithful,to believe not,to betray a trust,to disbelieve,to have no belief
570	0	faithless,unbelief,unfaithfulness,want of faith,weakness of faith
571	0	faithless,infidel,that believe not,thing incredible,unbeliever,unbelieving,unfaithful,which believe not,without trust
572	0	mental honesty,not self seeking,simplicity,sincerity,singleness
573	0	simple,single,whole
574	0	frankly,openly,simply,sincerely
575	0	from,of,out,out of,the
576	0	to be the outcome,to come,to go out,to result,to turn,to turn out
577	0	to cast away,to throw off
578	0	to have respect,to look at attentively,to look with steadfast mental gaze
579	0	abominated,be refused,despised,rejected,thrown away,to be thrown away
580	0	a losing,a loss,cast off,casting away,loss,rejection,repudiate,repudiation
581	0	to be removed from,to depart,to die
582	0	taxing
583	0	to copy,to enrol,to enter in a register or records,to write off
584	0	approved,to approve,to prove,to set forth,to show
585	0	a demonstration,a making manifest,demonstration,proof,showing forth
586	0	to give tithe,to pay tithe,to take tithe
587	0	acceptable,accepted,agreeable
588	0	to accept,to receive
589	0	to go abroad,to go into a far country,to travel into a far country
590	0	go abroad,taking a far journey
591	0	a debt due,conjugal duty,produce due,reward,taxes due,to discharge what is due,to give back,to pay off what is due,to recompense,to render account,to requite,to restore,to reward,tribute due,wages due
592	0	to disjoin,to part,to separate from another,to separate one's self
593	0	to disallow,to disapprove,to reject,to repudiate
594	0	acceptance,acceptation,admission,approbation,reception
595	0	putting away,putting off
596	0	barn,garner,granary,storehouse
597	0	to lay by in store,to lay in store,to put away,to store,to treasure away
598	0	to press,to press hard,to squeeze
599	0	to be at the point of death,to be dead,to be slain,to die,to perish
600	0	to restore,to restore to its former state
601	0	to disclose,to make known,to make manifest,to reveal,to uncover
602	0	a disclosure of truth,appearance,appearing,be revealed,coming,instruction,laying bear,making naked,manifestation,revelation,to lighten
603	0	anxious expectation,earnest expectation
604	0	to reconcile
605	0	restitution,restoration
606	0	to appoint,to be laid away,to laid by,to lay up,to reserved
607	0	to behead,to decapitate
608	0	to shut up
609	0	to amputate,to cut off
610	0	answer
611	0	answered,defended,to answer
612	0	a replying,an answer
613	0	to concealing,to hide,to keep secret
614	0	hid,hidden,kept secret,secret,stored up
615	0	to allow to perish,to destroy,to kill,to put to death,to slay
616	0	to begat,to bring forth,to produce
617	0	to roll away,to roll off
618	0	to receive,to receive ... again,to take aside
619	0	enjoy the pleasures,enjoyment,to enjoy
620	0	to desert,to forsake,to leave,to leave behind
621	0	to lick,to lick off,to lick up
622	0	perishing,to be destroyed,to be lost,to be ruined,to destroy,to kill,to lose,to perish
623	0	Apollyon
624	0	Apollonia
625	0	Apollos
626	0	answered,to answer,to answer for one's self,to excuse,to excuse one's self,to make defence,to speak for one's self
627	0	answer,answer for one's self,clearing of one's self,defence,verbal defence
628	0	to wash,to wash away,to wash off
629	0	deliverance,redemption
630	0	dismiss,to bid depart,to dismiss,to divorce,to let depart,to let go,to let go free,to release,to send away,to set at liberty,to set free,will dismiss
631	0	to wipe off,to wipe off one's self
632	0	to assign,to give,to portion out
633	0	to wash,to wash off,to wash off one's self
634	0	to fall,to fall off,to slip down from
635	0	to cause to go astray,to go astray,to lead away from the truth to error,to stray away from
636	0	to depart by ship,to sail,to sail away,to set sail
637	0	to wash off
638	0	to choke,to drown,to suffocate with water
639	0	to be embarrassed,to be in doubt,to be in straits,to be left wanting,to be perplexed,to doubt,to stand in doubt
640	0	perplexity
641	0	to cast down,to cast one's self,to cast one's self down,to throw away
642	0	to bereave of a parent,to bereave of parents
643	0	to carry off goods and chattels,to carry off one's personal property,to pack up and carry off,to take up one's carriages
644	0	shadow
645	0	to draw off,to tear away
646	0	apostasy,defection,falling away,to forsake
647	0	a bill of divorce,divorce,divorcement,repudiation,writing of divorcement
648	0	to take off the roof,to uncover
649	0	I send,sent,sent forth,to command,to dismiss,to drive away,to order away,to order to depart,to order to go,to send,to send away,to send forth,to send off,to send order,to send out,was sent
650	0	to defraud,to despoil,to rob
651	0	apostleship
652	0	apostle,delegate,messenger
653	0	to ply with questions,to recite from memory,to repeat to a pupil
654	0	to bring back,to deserting,to return,to tempt to defect,to turn away,to turn back,to turn one's self away,to turn one's self away from,turn away
655	0	to abhor,to dislike,to have a horror of
656	0	be put out of the synagogue,excommunicated,put out of the synagogue
657	0	to bid farewell,to forsake,to renounce,to send away,to separate,to set apart,to take leave
658	0	to accomplish,to bring to an end,to finish,to perfect
659	0	to lay aside,to put aside,to put away,to put off
660	0	to shake off
661	0	to pay off,to repay
662	0	to assume boldness,to be very bold,to make bold
663	0	rigour,roughness,severity
664	0	abruptly,curtly,precipitously,severely,sharply,sharpness
665	0	to avoid,to shun,to turn away
666	0	absence
667	0	to bring away,to carry away,to carry off
668	0	to escape,to escape from,to flee from
669	0	to pronounce,to say,to speak forth,to speak out
670	0	to be unlade,to discharge,to lay down a load
671	0	abuse,misuse
672	0	to depart,to go away
673	0	to depart,to depart asunder,to depart from,to part asunder,to separate,to separate one's self,to sever
