KJV	Modern Definition
Ambassage	An ambassador, an embassy, a group of aged, high ranking men
Amen	Dependable, faithful, certain
Amend	Mend
Amerce	A fine or penalty, to punish by fine
Amiable	Lovely, dear, beloved
An end	Fulfillment
Anathema	An accursed thing
Angel	Messenger
Angle	A fishhook
Anoint	To rub in, rub on
Anon	Immediately
Another	One of the same sort, or one of a different sort
Answer	Defend, to defend
Answered	Defended, to defend
Antichrist	One opposed to Christ
Antiquity	Ancient
Apace	To walk, get away
Apostle	Messenger, one who has been sent
Apothecary	A druggist, pharmacist, any who makes perfumes
Apparently	Visibly, plainly, distinctly
Apple	The pupil of the eye
Apprehend	Take possession of
Approve	Prove
Approved	Tested, tried, acceptable
Archangel	Chief angel
Aright	Upright, good, make good use of
Ark	A box, chest, basket
Armhole	Armpit
Armoury	Treasury, heap of swords
Array	To clothe, clothing To set in order for a purpose
Art	Skilled work, "Are"; second person singular
Artificer	Engraver, carver
Artillery	Any weapon of war
Ascribe	To give unto
Asp	A snake, serpent
Assay	To attempt, to test, to undertake
Assent	To agree upon
Asswage	To abate, diminish, settle down, subside, hold back
Astonied	To caste out, to drive out with a blow To stun, overwhelm, appall, horrify, terrorize, to be taken by surprise
Astonish	To caste out, to drive out with a blow To stun, overwhelm, appall, horrify, terrorize, to be taken by surprise
Astonished	To caste out, to drive out with a blow To stun, overwhelm, appall, horrify, terrorize, to be taken by surprise
Astonishment	To caste out, to drive out with a blow To stun, overwhelm, appall, horrify, terrorize, to be taken by surprise
Asunder	Between, apart from one another
Asuppim	Granaries, storehouses
Atonement	A covering (for sin)
Attendance	To pay attention, take seriously
Attent	Attentive
Audience	Listening or hearing
Aught	Any
Austere	Harsh, rough, severe, exacting
Avail	Be strong, have power
Averse	To turn away from
Avoid	Retreat from, evade
Avouch	To say, to acknowledge of one's own
Away with	Tolerate, endure
Axletree	Cross bar, axle, spindle of a wheel
Backbite	Slander, talking behind the back, to falsely accuse
Backbiter	Slander, talking behind the back, to falsely accuse
Backbiteth	Slander, talking behind the back, to falsely accuse
Backbiting	Slander, talking behind the back, to falsely accuse
Backsliding	Faithlessness, apostasy
Bakemeats	Baked pastries, the works of a baker
Baken	Anything baked
Balm	Medicine, gum/rosin from a bush
Band	Something that binds or ties up
Banquet	A feast of drinking, a drinking bout
Banquetings	A feast of drinking
Baptize	To immerse, to dip or dye a thing
Barbarian	A foreigner, non-Greek
Barbarous	A foreigner, non-Greek
Bare	Took out
Barked	To strip off, as bark from a tree
Base	Lowly, humble
Baser	Lowly, humble
Basest	Lowly, humble
Bason	Basin
Bath	A fluid measure, about 8 gallons
Battlement	A restraint or wall around the edge of a roof, something stretched out, a retaining wall
Bay	A reddish-brown color
Bdellium	An oily gum the color of a pearl,
Beast	A wild animal, or a man acting like a wild animal
Became	Was exactly suited for, was fitting
Because	That
Bed chamber	Bedroom
Bed stead	An elaborate and rich couch or bed, an arched bed
Beeves	Cattle, oxen, horned cattle fit to plough
Befall	To meet, chance
Beforetime	Previously
Begat	To bring forth, bear offspring
Beget	To bring forth, bear offspring
Begotten	To bring forth, bear offspring, to have born
Beguile	Deceive, to judge against, to lead astray
Behemoth	A huge, strong animal
Behove	To be necessary, needful
Behoveth	Being behooved, something owed or necessary
Belie	Be false
Belied	To lie against, to speak falsely
Bemoan	Rock, move, lament
Benevolence	A debt, something due to another
Beryl	A precious stone
Beseech	Plead, to call upon, appeal, beg
Beset	To surround, go around, encompass
Besom	A broom or sweep
Besought	Asked for, entreated, called
Bestead	Hard pressed, in a difficult situation, oppressed
Bestow	From "stow", or store, what you do with something, or where you put it
Bethink	To realize something, "Lay it to heart", consider and repent
Betimes	Soon, promptly, early, quickly
Betwixt	Between, in an intermediate position
Bewail	To wail, lament
Bewitch	Amaze, to fascinate
Bewray	To reveal or disclose, to make manifest, clear, evident
Bier	Device on which dead bodies were placed
Billow	A swelling or heap of water
Bishop	An overseer
Bishopric	Office, guardianship, office of overseeing
Blain	A blister or boil
Blains	Blisters, inflamed skin tumors
Blasted	A blight of mildew on plants
Blasting	A blight of mildew on plants
Blessed	Happy
Bloody flux	Dysentery
Boisterous	Strong, mighty, powerful
Bolled	A bud that is ready to open, as "a cotton boll", blossomed, in the seed/pod
Bolster	Head-rest, pillow
Bond maid	Maid-servant
Bond man	Slave, servant
Bond servant	Slave, servant
Bond woman	Maid-servant
Book	A legal document or scroll
Booties	The loot or spoil
Bosom	Have an intimate relationship with
Boss	The projection, or circular swelling, in the middle of a shield
Botch	A sore or boil, an ulcer
Bottles	Wineskins
Bound	Landmark
Bow	To curve or incline, to lean, to bend
Bowels	Usually an internal yearning or feeling, internal pangs of emotion, both good and bad, occasionally the internal organs
Brasen	Brass, copper
Bravery	Fancy female garments, beauty, splendor
Brawler	One who is inclined to fight
Bray	Pound or brake up, as with a mortar and pestle The sound of an ass or mule
Brayed	To groan, wail, make a foul noise
Breach	A damaged place, an opening or discontinuity
Breaches	Bays, harbors, creeks
Break up	To divide
Breeches	Trousers
Brigandine	Light armor made of chain mail or metal plates sewed to a cloth or leather coat, worn by foot soldiers known as "brigands"
Brim	Edge or border, a vessel full to overflowing
Brimstone	Sulfurous bitumen or pitch
Broided	Twined, braided
Broidered	Decorated garments
Broken	Opened
Brood	A group of young animals
Bruit	News being spread about, report, rumor
Brutish	To be like an animal, stupid
Buckler	A small round shield, either held in the off hand or strapped to the arm
Buffet	To strike with the fist
Bullock	Young bull, ox
Bulrush	Reed
Bulwark	Fortress, strong object, a defensive structure
Bunch	A hump on the back of a person or camel
Burden	Something carried, either literal, or a message from god
Burn	Passionate emotion, of lust, anger, or indignation
Burnished	Polished
Bursting	Shattered, crushed, broken into pieces, beaten
Business	From "busyness" to be active, have diligence, eagerness, earnestness
Butlership	The office of a butler
Buttocks	The seat, the posteriors, the rear end
By	Against
By and by	Immediately, at once, without delay
By course	In turn, orderly progression
Cabin	A prison or dungeon cell, a vaulted cell
Calamus	A reed
Caldron	A pot or kettle
Calker	Repairer of a breach or seam
Camphire	Henna
Candle	A lamp or lamp stand, using oil and a wick
Candlestick	A lamp or lamp stand, using oil and a wick
Canker	Gangrene, a dying or decay of a part of the body
Cankered	Rusted
Cankerworm	A caterpillar or larva that eats buds or leaves
Cannot contain	Unable to exercise sexual self-control
Captivity	Exile, prison, subjection to a foreign power, or the people in that condition
Carbuncle	A precious stone, usually red
Carcase	A dead body
Care	Anxiety, earnestness, diligence, zeal
Careful	Anxiety, earnestness, diligence, zeal
Carefulness	Anxiety, earnestness, diligence, zeal
Carnal	Fleshly, of the flesh, denoting human nature
Carnally	Fleshly, of the flesh
Carriage	That which is carried, not the vehicle carrying, baggage
Casement	Lattice window
Cassia	The bark of a cinnamon-like tree
Cast	Worn-out, old, cast-off
Cast angle	To fish with a hook
Cast down	To put something in position, to set in place
Cast in his teeth	To revile
Castaway	Rejected or unfit, not worth keeping
Caul	The diaphragm or pericardium. A knitted cap, a membrane covering (anatomy)
Cauls	Embroidered works, networks
Cause	Reason
Celestial	Relating to the heavens, heavenly
Censer	A small altar for burning incense
Centurion	Leader or commander of a hundred men
Certain	Some
Certify	To make known, advise
Chafed	Aggravated, displeased to the point of animosity
Chaff	The husk of wheat left after threshing, carried away by the wind
Chalcedony	A form of agate
Chalk stone	Limestone
Chambering	Immoral behavior behind closed doors, lewdness
Chamberlain	An officer of the king's court, the chief servant, normally a eunuch
Champaign	An open plain or desert, a plain, level country
Changeable (suits of apparel)	Garments worn during feasts or on special occasions
Chapiter	The capital or top of a column or pillar
Chapmen	Traders, merchantmen
Chapt	Cracked open topsoil during a drought
Charge	Responsibility, burden
Chargeable	Burdensome
Charged	Burdened, weighed down
Charger	A platter big enough for a large roast, a dish, a plate
Charitably	In love
Charity	Spiritual love
Charmer	A juggler, magician, sorcerer
Chaste	Consecrated, untouched, undefiled
Chasten	To discipline, train, educate
Check	Reproof, rebuke
Checker	Latticework
Chide	Rebuke, find fault, contend, strive
Chief estates	Leading men
Chiefest	The best, choicest
Choler	Bitter anger, anger
Chrysoprasus	A precious stone
Church	An assembly of persons, a congregation, assembly of "called out" ones
Churl	Rude and vulgar person, deceitful, sly, cruel, stubborn
Churlish	Rude and vulgar person, deceitful, sly, cruel, stubborn
Ciel	Paneled or paneling of wood, rafters
Cieling	Paneled or paneling of wood, rafters
Circumspect	Watchfully, pointedly, carefully
Circumspectly	Watchfully, pointedly, carefully
Cistern	A well, pit or vessel for holding water
Clamorous	To make a noise, an outcry or protest
Clave	To split, to break through, tear
Clay	Mud
Clean	Completely, entirely In 2 peter 2:18, barely
Clean heart	Right attitude
Cleanness of teeth	Famine
Cleave	To adhere closely to, to be joined to, to be united
Cleaveth	To stick close to
Cleft	A rent open or hollow place, a fissure in the rock, an opening, break or split
Clift	A rent open or hollow place, a fissure in the rock, an opening, break or split
Cloak	An outer garment, a covering or robe, raiment, clothing
Cloke	An outer garment, a covering or robe, raiment, clothing
Close	A stronghold, a safe place
Closet	A private room or chamber
Clothed upon	To put a garment on over other garments already worn
Clout	A rag or used piece of cloth Patches on an old garment
Clouted	A rag or used piece of cloth Patches on an old garment
Cloven	Separated, divided up
Coast	The border or outskirts of a region, not necessarily at the sea
Cockatrice	Venomous serpent or lizard, a viper
Cockle	A weed resembling wheat
Coffer	A box or chest, usually for storing wealth
Cogitation	Thoughts
College	A particular district or quarter of a city, as "the Hebrew quarter, or the Moslem quarter of Jerusalem”
Collop	A piece of flesh
Collops	Fat, fatness
Come	Follow
Come by	To bring a boat to a desired heading
Comeliness	Honor, beauty, gracefulness That which is fitting
Comely	Honor, beauty, gracefulness That which is fitting
Comfort	To support or strengthen, to exhort
Comfortable	To put at rest
Comfortably	Speak encouragingly
Comforter	An advocate (lawyer), one who comes alongside to support, a title of the holy spirit
Comfortless	Not left as orphans
Coming	Revelation
Commend	To praise
Common hall	Praetorium
Commune	To confer and discuss with someone else
Communed	Reasoned
Communicate	To share fellowship or material aid, social interaction, to share or have things in common
Communication	To share fellowship or material aid, social interaction, to share or have things in common
Communications	Associations, companionships
Compacted	Knit together
Compass	To encircle or surround, to go round about
Compel	To urge, attempt to force
Comprehend	To lay hold of, apprehend, to grasp, to overcome
Conceit	Imagination, high-mindedness
Concision	To mutilate the flesh, a cutting off, a false circumcision
Conclude	To restrict, confine, shut up, come to a decision
Concluded	Shut up, shut together, enclosed
Concord	Agreement, unison
Concourse	A gathering, a crowd of people
Concubine	A half wife, a secondary or inferior wife
Concupiscence	Eager sexual lust, strong desire, passion
Condescend	The opposite of haughty behavior, humility, to go along, to be led
Coney	A small animal similar to a groundhog
Confection	Something spicy or good smelling, a perfumer, ointment maker
Confectionary	Something spicy or good smelling, a perfumer, ointment maker
Confer	To speak or talk together
Confound	Dismay, put to shame, bewilder
Confusion	Embarrassment, shame
Consecrate	To regard as set apart or separate
Consent	To agree with enthusiastically, be readily like minded
Consort with	To be joined to
Constant	To continue steadfastly, to be confident of something
Constantly	To continue steadfastly, to be confident of something
Constrain	To compel
Consult	To plan or scheme
Contemn	To loath, refuse or despise To be lightly esteemed, to despise with mockery
Contemned	To loath, refuse or despise To be lightly esteemed
Contemptible	Despicable, worthy of nothing
Content	To be satisfied, to accept a situation
Contentious	Loving quarrel, fond of strife
Contrariwise	On the contrary
Contrite	Crushed, broken or bruised in spirit
Convenient	Proper, fitting, apt, an opportunity, appropriate
Conversation	Manner of life, behavior, conduct does not refer to discussions, one's conduct, manner of walk
Convince	To convict or prove, to carry the force of an argument
Convinceth	Convict
Convocation	A calling together, assembly
Coriander	A round aromatic seed
Corn	A grain or small round object, or a cereal, not referring to maize or Indian corn
Cornet	A wind instrument, horn, trumpet
Corrupt	Physical decay such as rust or rotting, or moral decay
Cote	1) Livestock shed, 2) Fold
Coulter	Colter. A plowshare, an iron agricultural tool
Countenance	Face, appearance
Countervail	To make up for, balance out, be made equal, offset, compensate
Country	Countryside, rural area
Coupled	Joined together, attached Twins
Cousin	A kinsman or relative
Cover his feet	A euphemism referring to a bowel movement Where the clothes are at that time
Covert	A covered walk. A hiding place
Covet	A strong desire to possess what belongs to another In 1 COR 12:31, a good spiritual zeal, to long after, to try to gain
Cracknel	A crunchy biscuit, small dry cake, cracker
Creature	Anything created, the creation
Crib	A place in which cattle are fattened
Crisping pins	Money bags or purses, highly ornamented
Crook backt	Hump backed
Crop	To pluck or break off
Cross	Stake
Cruse	Bottle, jug or flask, a pot
Cubit	A linear measurement, about 18 inches
Cumber	A bother, to be distracted with cares
Cumbereth	To render useless, to make vain
Cumbrance	A burden
Cummin	A herb bearing aromatic seeds
Cunning	In the OT, skillful In; the NT, sly or devious
Curious	Made with care and skill, from the idea of being carefully watched over
Curious arts	Magic
Dam	A mother
Damnation	Condemnation, judgment
Damned	To condemn, judge against
Damsel	A little girl or maiden
Dandled	To be soothed, caressed, fondled
Danger	Liable to, a legal phrase connoting liability
Darling	An only one, something unique and beloved
Dash	To strike, break, shatter, to beat towards
Daub	To cover or plaster
Daysman	Go-between, arbitrator, a judge, an umpire
Dayspring	The start of the day, an "up-rising", hence sun rising
Deacon	Servant, attendant
Dearth	Something lacking, a cutting off of rain
Debase	To make low or humble
Debate	A hateful argument, violent actions
Decay	To waste away, diminish, become obsolete
Deck	Adorn oneself
Declare	To explain in detail, make a report
Decline	Deteriorate in moral standards
Deem	To suspect
Defame	To slander, speak evil of
Defence	Fortress, stronghold, high tower Shade
Defer	To delay, postpone
Defiled	Ritually unclean
Degenerate	Having fallen from a desirable state
Degree	Stairs or steps, going up or down. A person's social rank
Delicacy	Sensual pleasures, wantonness
Delicately	To enjoy luxury
Deliciously	Sensual pleasures, wantonness
Delivered	Entrusted to
Delivered up	Handed over
Demand	An inquiry, to ask
Denounce	To announce something, give forth a proclamation
Deputy	A person who acts or speaks for another
Derision	Ridicule, laughing at enemies' threats
Descry	To look at something, to reconnoiter, to spy out
Despite	Spiteful, to insult or scorn, contempt
Destitute	Those whose souls have been laid bare
Determinate	Marked out
Determine	Decide
Device	A plan or purpose
Devil	An accuser
Devotions	Objects of worship
Diadem	Tiara, crown, turban or hood
Die the death	"Surely die"
Dig up	To dig a pit to ensnare someone, to devise evil
Disallow	To refuse to accept or sanction, a rejection
Disannul	Make null and void, to abolish a vow, to break
Discern	To recognize someone you used to know, examine, prove or test, scrutinize
Discomfit	Defeat or repel an enemy, or confuse the plans of an attacker, to disturb
Discover	To expose or reveal, to come in sight of
Disdain	To reject, to despise
Dishonesty	Underhanded methods
Disorderly	To be lazy, failure to work
Dispensation	An arrangement of things, a scheme
Disquiet	Roar, make a noise Emotional distress
Disquietness	Roar, make a noise Emotional distress
Dissemble	Lie, lead astray, to use deceit, to feign
Dissemblers	Pretenders, hypocrites
Dissembleth	To pretend, to use deceit
Dissimulation	Hypocrisy
Distaff	The part of a weaving loom that holds the flax or wool for spinning
Distil	To flow or drop water
Divers	Different, unequal, various
Diverse	Various
Dividing	Expounding, dissecting
DOCTOR	Teacher, instructor
Doctrine	Teaching, the act or result of teaching
Dogs	An obnoxious beast, a foreigner or gentile
Doleful	Howling, shrieking
Done away	Faded away, removed
Dote	To be foolish, to fixate on a topic constantly, as if feebleminded
Doth	To do, to produce, make
Doting	To appear to be ill, or sick over
Doubt	Something perplexing, causing questions
Doubtful	Dubious in value, anxious
Doubtless	Having certainty
Dragon	Jackal, wild dog
Draught	To drain To catch in a fishing net, an outhouse
Drave	Drove, had driven
Dreadful	Having awe or reverence for something
Dregs	Sediment
Dropsy	An illness
Dross	The useless leftovers when metal is refined
Drove	Flock, company
Dryshod	Footed with shoes
Due benevolence	Sexual dues
Duke	A chieftain, a head of a family or tribe
Dulcimer	Musical instrument similar to a hammered dulcimer
Dure	To endure
Dureth	To endure, to last
Durst	Dare not speak
Ear	To work, till, or plough the ground
Earing	Plowing, tilling the ground
Earnest	A down payment guarantee promising that the balance owed will be paid, a pledge
Earnestly	Carefully, steadfastly
Earth	Land
Easter	Passover
Edify	To build up spiritually or intellectually, to construct, build up or establish
Effectual	Effective service, active work
Elder	Older, greater in age
Elect	Chosen, according to choice
Election	Chosen, according to choice
Elias	Elijah
Eliseus	Elisha
Embolden	To make powerful
Embraced	Greeted
Emerods	Hemorrhoids, tumors
Eminent	High or lofty, something raised up high
Emulation	In ROM11:14, encouraging another to zealousness In Gal 5:20, an envious and contentious rivalry, jealousy
Engine	Warlike invention
Engines	War machinery, ballistae, battering rams
Enjoin	To charge, arrange, make responsible, to command
Enlarge	To make greater, as a blessing
Enlargement	To set free from confinement
Enmity	Hostility, hatred
Ensample	Example
Ensamples	Examples, types, a banner, sign, memorial
Ensue	To seek after, to pursue after
Entice	Bait or persuade
Enticing	Bait or persuade
Entreat	Intreat, ask, desire, to treat, to use
Entreaties	Pleadings, humble requests
Environs	To surround, compass
Ephah	A unit of measurement, roughly three pecks plus five quarts
Ephod	A priestly garment
Epistle	A letter, a letter sent
Equal	To be just and fair
Equity	Uprightness, straightforwardness
Ere	Before
Esaias	Isaiah
Eschew	To escape or avoid, turn aside
Espousals	The wedding ceremony
Espoused	Betrothed, to be asked in marriage
Espy	See, watch, search out
Estate	Order, condition, council
Estates	Men
Esteem	To think, reckon, set a value on
Estrangled	To be a stranger
Euroclydon	A furious, north-easterly wind
Evangelist	Messenger of good tidings
Eveningtide	Evening time
Eventide	Evening time
Every	Per each
Every man	Every thing
Every several	Each individual, each one separately
Every whit	Whole, all
Evidence	An assurance, a legal document, a deed
Evidently	Apparently
Evils	Demons
Exact	To cause to come out, take
Exaction	To cause to come out, take
Exactor	Overseer
Exceed	To go to excess
Exceeding	To a great extent
Excellency	Excellence
Execration	Oath, curse
Exercise	To practice, be busy with, occupied with
Exhortation	Encouragement
Expect	Wait
Expectation	Hope
Expound	To set forth, to declare
Extol	To lift up, esteem, praise
Eye of a needle	The animal gate, next to the main city gate, where livestock were permitted to enter (the main gate was for human traffic only).  Most livestock were goats and sheep, but horses and donkeys could enter easily. The very rare camel was so large it was required to kneel and crawl through
Eyesalve	Medicine for the eyes
Eyeservice	Only while being watched
Fable	A myth
Fain	Gladly, to desire earnestly, long for
Faint	To grow weak or lose courage, to give up
Faith	Faithfulness
Faithful	Trustworthy
Fame	Something commonly known, or a rumor
Familiar spirit	The spirit or demon that prompts a medium or fortuneteller
Familiars	Close friends, intimate friends
Famished	To have suffered hunger
Fan	A grain winnowing fork or shovel, winnowers
Fanner	A grain winnowing fork, winnowers
Fare	To make merry, rejoice
Farthing	Money, a tenth of a denarius, a small coin of little worth
Fashion	The plan or likeness of something
Fast	To be close to, abstaining from food
Fat	As an adjective- flourishing, healthy
Fathom	Approx 6 feet
Fatling	Fat cattle
Feebleminded	To be discouraged or depressed, weak in spirit Does not imply mental retardation, Faint-hearted
Feign	To pretend
Feigned	Deceit, pretending, false
Feller	One who cuts down
Felloes	Spokes of a wheel
Fellowship	Partnership
Fen	A swamp or mire, a marsh
Fenced	From defense, a fortification, protected
Fervent	Glowing, ardent, zealous, earnest, burning
Fetch a compass	To make a circuit, a 360 degree turn
Fetch about	To bring about
Fetched a compass	Made a circuit, wandered up and down
Fetters	Bonds, chains
Fillet	A narrow strip or band of material, usually between two other things, curtain rods placed between columns
Filthy conversation	Immoral conduct
Fine	As a verb- refine
Fining	Refining
Firebrand	Firewood, torch
Firkin	Liquid measurement
Firmament	Expanse or vault over the earth, sky
Firstling	First offspring, firstborn
Fitches	A grain, black cummin, a species of grain
Flag	Type of marsh grass or reed
Flagon	A pressed cake of raisins, a cup, bottle, vessel
Flags	Plants growing in moist places
Flanks	The loins
Flay	To strip off
Flight	Escape
Flood	Flowing water
Flowers	Menstrual flow, blood
Flux	Dysentery, an intestinal disease
Folden	Folded up, interwoven, tangled
Followers	Imitators
Footmen	Foot soldiers, guards
For a season	For a short time
For that	Because
For to	To
Forbear	Cease, be silent, hold back, to let alone, to be silent
Forbearance	Self-restraint
Forbearing	Patience, slow anger
Forborne	Ceased
Ford	A river crossing, where a river can be crossed by foot
Foresaw	Beheld
Foretell	To advise someone ahead of time
Fornication	Sexual immorality
Forsaken	To leave in an abandoned condition
Forsook	To have left in an abandoned condition
Forswear	To swear falsely
Forth of	Out from
Forthwith	Immediately
Forward	Eagerness or readiness to advance a good cause
Forwardness	Eagerness or readiness to advance a good cause
Fountain	Spring
Fourscore	Eighty
Foresquare	Squared, four cornered
Fowler	One who catches birds with a snare
Fowls	Birds
Frame	To arrange, set forth
Frankly	Generously
Fray	To make afraid, frighten
Fret	To corrode, pit, pitted, to be grieved, troubled, displeased
Fretting	To corrode, pit, pitted
Frontlets	A phylactery worn on the forehead
Froward	Crooked or perverse, devious or sneaky, perverse, deceitful, false
Frowardly	Crooked or perverse, devious or sneaky
Frowardness	Crooked or perverse, devious or sneaky
Fulfill	Gratify
Fuller	Launderer, one who washes clothes
Furbish	To scour and cleanse metal
Furbished	Polished
Furlong	A tenth of an English mile, or approximately 1/8 mile (660 feet)
Furniture	Furnishings, utensils
Furrow	Groove in the earth made by a plow
Gad	To go about or away, to roam
Gaddest	To go about or away, to roam
Gainsay	To speak against, oppose, contradict
Gainsayers	To speak against, oppose, contradict
Gainsaying	To speak against, oppose, contradict
Gall	Bitter, poisonous, venomous
Galley	Ship with oars
Gape	To open wide
Garden house	A summer house
Garlick	Garlic
Garner	Treasury for grain, a barn, a storehouse
Garnish	To be well furnished or prepared
Garrison	A guard, watch or patrol
Gay	Excellent, fine, expensive, costly
Gazing stock	A public spectacle
Gender	To breed something for a specific purpose
Generation	A genealogy, a particular race of people, a group of people living at the same time
Gentiles	A people, nations other than Israel
Ghost	Spirit
Gier eagle	The Egyptian vulture
Gin	A snare or trap, a noose
Gird	To wear, bind on, put on securely, a sash or belt, to fasten, secure, to equip, prepare
Girded	To wear, bind on, put on securely, a sash or belt, to fasten, secure, to equip, prepare
Girdle	To wear, bind on, put on securely, a sash or belt, to fasten, secure, to equip, prepare
Girt	To gird around, be girded, to be belted, wrapped
Give place	Make room, yield to another
Glass	Highly polished metal used as a mirror
Glean	To gather crops
Gleaning	To gather crops
Glede	A vulture
Glister	Glittering, dazzling
Glistering	Glittering, dazzling
Gnash	To grate the teeth
Go to	An exhortation or command
Goad	A pointed stick
God forbid	A strong objection, "may it not be so!"
God speed	To wish someone divine success, a greeting
Going forth	Origin
Goings	Steps, a path followed
Good master	Good teacher
Goodly	Beautiful, handsomeness, physical excellence
Goodman	Male homeowner, male head of a household
Goods	Possessions
Gospel	Good news
Governor	The pilot or helmsman of a ship, a ruler
Grace	Kindness, favor
Graven	Something sculptured, carved Engraving, to cut or engrave
Graving	Something sculptured, carved Engraving, to cut or engrave
Gravity	Dignity
Greivous	Severe, harsh, difficult to bear
Grief	Any distress or injury, not necessarily emotional
Grieve	Any distress or injury, not necessarily emotional
Grievously	Severe, harsh, difficult to bear
Grievousness	Severe, harsh, difficult to bear
Grisled	Gray, or streaked and mixed with gray, spotted, speckled
Gross	Fat, thick
Ground	To lay a foundation, secure, stable
Grounded	To lay a foundation, secure, stable
Grudge	Complain or grumble
Guile	Deceit, craftiness
Guilty	Bound
Habergeon	A short coat of mail without sleeves, a coat of armor
Haft	The handle of a dagger, a handle
Hail	A greeting of joy and peace
Hale	Haul, drag by force, to draw
Haling	Haul, drag by force
Hallow	To make holy, to set apart from common
Hallowed	Set apart
Halt	Lame, limping, crippled in the feet
Hand	Defiantly, overbearing
Handmaid	A female servant
Handmaiden	A female servant
Hang	To be crucified
Hang oneself	To confess to a crucify-able crime
Hap	Perhaps, by chance
Haply	Perhaps, by chance
Hard by	Beside, next to
Hardly	With difficulty
Hardness	Blindness
Harlot	To commit fornication, sell the body
Harness	As a noun - armor
Harrow	A sharp, pointed instrument
Hart	A male deer, a stag
Haste	To hurry, to urge on quickly
Hastily	Without delay
Hasting	Without delay
Haughtily	Prideful, to be high
Haughtiness	Prideful, to be high
Haughty	Prideful, to be high, proud, arrogant, lifted up
Haunt	To inhabit, visit or dwell
Headlong	To fall forward
Heady	Passionate, headstrong, reckless, hasty, headstrong
Health	A cure or recovery Salvation
Hearken	Listen, pay attention
Heart	Attitude of mind
Hearth	A furnace, fire
Heath	A bare wilderness, a shrub or tree
Heathen	People, nations, non-Jews
Heave offering	An offering which is waved or held out toward the lord
Heavily	A sorrowful or distressed state of mind
Heaviness	A sorrowful or distressed state of mind
Heed	Pay close attention, to be careful to consider
Hell	The valley of Hinnom
Hence	Therefore, from this
Henceforth	From this time forth, from now on
Herbs	Vegetables
Herdman	One who feeds animals, a shepherd
Hereafter	After this
Hereof	This
Heresies	Factions
Heretic	One who causes divisions, factions
Heretofore	Previously
Hereunto	Unto this
Herewith	With this
Heritage	Allotment, possession
Hewn	Cut
High	Defiantly, overbearing
Highminded	Haughty, egotistical
Hin	Five quarts, liquid measure
Hind	A female deer
Hinder	To delay, withhold, latter, rear, behind
Hinder (part)	The back part, rear
Hindermost	The back part, rear
Hindmost	The back part, rear
Hinds	Deer or mountain goats
Hireling	One hired, a laborer employed on hire
Hiss	Whistle
Hither	Here, to bring close
Hitherto	Up until now
Hoar	Gray headed, aged
Hoary	Gray headed, aged, white colored
Hock	To disable by cutting a leg muscle
Hoise	Hoist
Hold	Stronghold
Holden	Held, caught
Hollow	Palm, cup
Holpen	Helped
Homer	A half gallon dry measure
Honest	Honorable
Horse leach	One who tends to horses, a veterinarian
Hosanna	"Save now!", "Save, I pray!"
Hosen	A garment, possibly a coat - the meaning is uncertain, tunics, under garments
Host	Army, or band of soldiers
Hough	Pronounced "hock", to hamstring by cutting the large tendon just above the heel
House	A building, a household, a family, ancestry
Howbeit	Be that as it may
Hunger bitten	Famished
Hungered	To have been hungry
Husbandman	Farmer, farming
Husbandry	Farmer, farming
