ID	word	Body
510	Compare, Comparison	(1: sunkrino; Strong # 4793)\denotes \    (a) "to join fitly, to combine," 1 Cor. 2:13, either in the sense of combining spiritual things with spiritual, adapting the discourse to the subject, under the guidance of the Holy Spirit, or communicating spiritual things by spiritual things or words, or in the sense of interpreting spiritual things to spiritual men, RV and AV, "comparing" (cp. the Sept. use, of interpreting dreams, etc. Gen. 40:8,16,22; 41:12,15; Dan. 5:12); \    (b) "to place together;" hence, "judge or discriminate by comparison, compare, with or among," 2 Cor. 10:12 (thrice). \\(2: paraballo; Strong # 3846)\"to place side by side, to set forth," and the noun {parabole} (Eng., "parable"), occur in Mark 4:30, RV, "In what parable shall we set it forth?," AV, "with what comparison shall we compare it?" See ARRIVE.\\Note: The preposition {proV}, "towards," is sometimes used of mental direction, in the way of estimation, or comparison, as in the phrase "(worthy) to be compared," or "(worthy) in comparison with," Rom. 8:18.
511	Compass	(1: kukleuo; Strong # 2944)\denotes "to encircle, surround," and is found in the best texts in John 10:24, "came round about," and Rev. 20:9, of a camp surrounded by foes; some mss. have No. 2 in each place. \\(2: kukloo; Strong # 2944)\\(cp. Eng., "cycle") signifies "to move in a circle, to compass about," as of a city "encompassed" by armies, Luke 21:20; Heb. 11:30; in Acts 14:20, "stood round about." See COME, No. 38, STAND.\\(3: perikukloo; Strong # 4033)\{peri}, "about," with No. 2, is used in Luke 19:43 "shall compass...round."\\(4: periago; Strong # 4013)\"to lead about," 1 Cor. 9:5, or, intransitively, "to go about, to go up and down," is so used in Matt. 4:23; 9:35; Mark 6:6; Acts 13:11; "to compass regions," Matt. 23:15. See GO, LEAD.\\(5: perikeimai; Strong # 4029)\"to be encompassed:" see BOUND \    (b), HANG.\\(6: perierchomai; Strong # 4022)\lit., "to go, or come, about" ({peri}, "about," {erchomai}, "to come"), is translated in Acts 28:13, AV, "fetched a compass." See CIRCUIT.
512	Compassion, Compassionate	(A-1, Verb: oikteiro; Strong # 3627)\"to have pity, a feeling of distress through the ills of others," is used of God's compassion, Rom. 9:15. \\(A-2, Verb: splanchnizomai; Strong # 4697)\"to be moved as to one's inwards ({splanchna}), to be moved with compassion, to yearn with compassion," is frequently recorded of Christ towards the multitude and towards individual sufferers, Matt. 9:36; 14:14; 15:32; 18:27; 20:34; Mark 1:41; 6:34; 8:2; 9:22 (of the appeal of a father for a demon-possessed son); Luke 7:13; 10:33; of the father in the parable of the Prodigal Son, Luke 15:20. (Moulton and Milligan consider the verb to have been coined in the Jewish dispersion).\\(A-3, Verb: sumpatheo; Strong # 4834)\"to suffer with another ({sun}, 'with,' {pascho}, 'to suffer'), to be affected similarly" (Eng., "sympathy"), to have "compassion" upon, Heb. 10:34, of "compassionating" those in prison, is translated "be touched with" in Heb. 4:15, of Christ as the High Priest. See TOUCH.\\(A-4, Verb: eleeo; Strong # 1653)\"to have mercy ({eleoV}, "mercy"), to show kindness, by beneficence, or assistance," is translated "have compassion" in Matt. 18:33 (AV); Mark 5:19; Jude 1:22. See MERCY.\\(A-5, Verb: metriopatheo; Strong # 3356)\is rendered "have compassion," in Heb. 5:2, AV. See BEAR, No. 13.\\(B-1, Noun: oiktirmoV; Strong # 3628)\akin to A, No. 1, is used with {splanchna} (see below), "the viscera, the inward parts," as the seat of emotion, the "heart," Phil. 2:1; Col. 3:12, "a heart of compassion" (AV, "bowels of mercies"). In Heb. 10:28 it is used with {choriV}, "without," (lit., "without compassions"). It is translated "mercies" in Rom. 12:1; 2 Cor. 1:3. See MERCY.\\(B-2, Noun: splanchnon; Strong # 4698)\always used in the plural, is suitably rendered "compassion" in the RV of Col. 3:12; 1 John 3:17; "compassions" in Phil. 2:1, Cp. A, No. 2. See BOWELS.\\(C-1, Adjective: sumpatheV; Strong # 4835)\denotes suffering with, "compassionate," 1 Pet. 3:8, RV (AV, "having compassion"). See A, No. 3.
513	Compel	(1: anankazo; Strong # 315)\denotes "to put constraint upon (from {ananke}, 'necessity'), to constrain," whether by threat, entreaty, force or persuasion; Christ "constrained" the disciples to get into a boat, Matt. 14:22; Mark 6:45; the servants of the man who made a great supper were to constrain people to come in, Luke 14:23 (RV, "constrain"); Saul of Tarsus "strove" to make saints blaspheme, Acts 26:11, RV (AV, "compelled"); Titus, though a Greek, was not "compelled" to be circumcised, Gal. 2:3, as Galatian converts were, Gal. 6:12, RV; Peter was "compelling" Gentiles to live as Jews, Gal. 2:14; Paul was "constrained" to appeal to Caesar, Acts 28:19, and was "compelled" by the church at Corinth to become foolish in speaking of himself, 2 Cor. 12:11. See CONSTRAIN. \\(2: angareuo; Strong # 29)\"to dispatch as an {angaroV} (a Persian courier kept at regular stages with power of impressing men into service)," and hence, in general, "to impress into service," is used of "compelling" a person to go a mile, Matt. 5:41; of the impressing of Simon to bear Christ's cross, Matt. 27:32; Mark 15:21.
514	Complainer, Complaint	(1: mempsimoiroV; Strong # 3202)\denotes "one who complains," lit., "complaining of one's lot" ({memphomai}, "to blame," {moira}, "a fate, lot"); hence, "discontented, querulous, repining;" it is rendered "complainers" in Jude 1:16. \\(2: momphe; Strong # 3437)\denotes "blame" (akin to {memphomai}, see No. 1), "an occasion of complaint," Col. 3:13 (AV, "quarrel"). See QUARREL.\\(3: aitioma; Strong # 157)\"a charge," is translated "complaints" in Acts 25:7, AV. See CHARGE.
515	Complete, Completion, Completely	(A-1, Verb: epiteleo; Strong # 2005)\"to complete:" see ACCOMPLISH, No. 4. \\(A-2, Verb: exartizo; Strong # 1822)\"to fit out" ({ek}, "out," intensive, {artoV}, "a joint;" or from {artioV}, perfect, lit., "exactly right"), is said of the equipment of the man of God, 2 Tim. 3:17, "furnished completely" (AV, "throughly furnished"); elsewhere in Acts 21:5, "accomplished." Cp. B. See FURNISH.\\(A-3, Verb: sunteleo; Strong # 4931)\"to end together, bring quite to an end" ({sun}, "together," intensive, {teloV}, "an end"), is said \    (a) of the "completion" of a period of days, Luke 4:2; Acts 21:27; \    (b) of "completing" something; some mss. have it in Matt. 7:28, of the Lord, in ending His discourse (the best mss. have {teleo}, "to finish"); of God, in finishing a work, Rom. 9:28, in making a new covenant, Heb. 8:8, marg., "accomplish;" of the fulfillment of things foretold, Mark 13:4; of the Devil's temptation of the Lord, Luke 4:13. See END, FINISH, FULFILL, MAKE.\\(A-4, Verb: pleroo; Strong # 4137)\"to fill" (in the Passive Voice, "to be made full"), is translated "complete" in the AV of Col. 2:10 (RV, "made full;" cp. ver. 9). See ACCOMPLISH.\\(A-5, Verb: plerophoreo; Strong # 4135)\"to be fully assured," is translated "complete" in Col. 4:12. See ASSURED, B, No. 2.\\(B-1, Adjective: artioV; Strong # 739)\"fitted, complete" (from {artoV}, "a limb, joint"), is used in 2 Tim. 3:17, RV, "complete," AV, "perfect." See PERFECT.\\(C-1, Noun: apartismoV; Strong # 535)\is rendered "complete" in Luke 14:28, RV.
516	Comprehend	See UNDERSTAND.
517	Conceal	(1: parakalupto; Strong # 3871)\"to conceal thoroughly" ({para}, "beside," intensive, {kalupto}, "to hide"), is found in Luke 9:45, of "concealing" from the disciples the fact of the delivering up of Christ.
518	Conceits	(1: en heautoiV; Strong # 1722 1438)\lit., "in yourselves," is used with {phronimoV}, "wise," in Rom. 11:25, "(wise) in your own conceits (i.e., opinions)." \\(2: par' heautoiV; Strong # 3844 1438)\\({para}, with, in the estimation of), in Rom. 12:16 has the same rendering as No. 1.
519	Conceive	(1: gennao; Strong # 1080)\"to conceive, beget:" see BEGET, A, No. 1. \\(2: sullambano; Strong # 4815)\lit., "to take together" ({sun}, "with," {lambano}, "to take or receive"), is used \    (a) of a woman, to "conceive," Luke 1:24,31,36; in the Passive Voice. Luke 2:21; \    (b) metaphorically, of the impulse of lust in the human heart, enticing to sin, Jas. 1:15. For its other meaning see CATCH, No. 8.\\(3: tithemi; Strong # 5087)\"to put, set," is used in Acts 5:4, of the sin of Ananias, in "conceiving" a lie in his heart.\\Notes: (1) The phrase {echo}, "to have," with {koite}, "a lying down, a bed," especially the marriage bed, denotes "to conceive," Rom. 9:10.\\(2) The phrase {eis katabolen}, lit., "for a casting down, or in," is used of conception in Heb. 11:11.
520	Concern, Concerneth	In regard to Paul's infirmity, "the things that concern my infirmity," lit., "the (things) of my infirmity." * 2. The neuter singular of the article, with the preposition {peri}, "concerning," is used by the Lord in Luke 22:37, "that which concerneth," lit., "the (thing) concerning (Me)." The same construction is found in Luke 24:27; Acts 19:8; 28:31
521	Concerning	* For CONCERNING see Strong # 4012.
522	Concision	(1: katatome; Strong # 2699)\lit., "a cutting off" ({kata}, "down," {temno}, "to cut"), "a mutilation," is a term found in Phil. 3:2, there used by the Apostle, by a paranomasia, contemptuously, for the Jewish circumcision with its Judaistic influence, in contrast to the true spiritual circumcision.
523	Conclude	(1: sumbibazo; Strong # 4822)\lit., "to make to come together," is translated "concluding" in Acts 16:10, RV, for the AV, "assuredly gathering." See COMPACTED, INSTRUCT, KNIT, PROVE. Notes: For {krino}, "to judge, give judgement," rendered "concluded" in the AV of Acts 21:25, RV, "giving judgment," see JUDGMENT. For {logizomai}, "to reckon," translated "conclude" in Rom. 3:28, AV, RV, "reckon," see RECKON. For {sunkleio}, "to shut up with," translated "concluded" in Rom. 11:32; Gal. 3:22, AV, RV, "shut up," see INCLOSE, SHUT.
524	Concord	(1: sumphonesiV; Strong # 4857)\lit., "a sounding together" ({sun}, "with," {phone}, "a sound;" Eng., "symphony"), is found in 2 Cor. 6:15, in the rhetorical question "what concord hath Christ with Belial ?" See AGREE, A, No. 1.
525	Concourse	(1: suntrophe; Strong # 4963)\"a turning together" ({sun}, "with," {trepo}, "to turn"), signifies \    (a) that which is rolled together; hence \    (b) a dense mass of people, concourse, Acts 19:40. See BANDED.
526	Concupiscence	See COVET, DESIRE, LUST.
527	Condemn, Condemnation	(A-1, Verb: kataginosko; Strong # 2607)\"to know something against" ({kata}, "against," {ginosko}, "to know by experience"), hence, "to think ill of, to condemn," is said, in Gal. 2:11, of Peter's conduct (RV, "stood condemned"), he being "self-condemned" as the result of an exercised and enlightened conscience, and "condemned" in the sight of others; so of "self-condemnation" due to an exercise of heart, 1 John 3:20,21. See BLAME. \\(A-2, Verb: katadikazo; Strong # 2613)\signifies "to exercise right or law against anyone;" hence, "to pronounce judgment, to condemn" ({kata}, "down, or against," {dike}, "justice"), Matt. 12:7,37; Luke 6:37; Jas. 5:6.\\(A-3, Verb: krino; Strong # 2919)\"to distinguish, choose, give an opinion upon, judge," sometimes denotes "to condemn," e.g., Acts 13:27; Rom. 2:27; Jas. 5:9 (in the best mss.). Cp. No. 1, below. See CALL (No. 13), CONCLUDE, DECREE, DETERMINE, ESTEEM, JUDGE, LAW (go to), ORDAIN, SUE, THINK.\\(A-4, Verb: katakrino; Strong # 2632)\a strengthened form of No. 3, signifies "to give judgment against, pass sentence upon;" hence, "to condemn," implying \    (a) the fact of a crime, e.g., Rom. 2:1; 14:23; 2 Pet. 2:6; some mss. have it in Jas. 5:9; \    (b) the imputation of a crime, as in the "condemnation" of Christ by the Jews, Matt. 20:18; Mark 14:64. It is used metaphorically of "condemning" by a good example, Matt. 12:41,42; Luke 11:31,32; Heb. 11:7.\\In Rom. 8:3, God's "condemnation" of sin is set forth in that Christ, His own Son, sent by Him to partake of human nature (sin apart) and to become an offering for sin, died under the judgment due to our sin.\\(B-1, Noun: krima; Strong # 2917)\denotes \    (a) "the sentence pronounced, a verdict, a condemnation, the decision resulting from an investigation," e.g., Mark 12:40; Luke 23:40; 1 Tim. 3:6; Jude 1:4; \    (b) "the process of judgment leading to a decision," 1 Pet. 4:17 ("judgment"), where {krisiV} (see No. 3, below) might be expected. In Luke 24:20, "to be condemned" translates the phrase {eis krima}, "unto condemnation" (i.e., unto the pronouncement of the sentence of "condemnation"). For the rendering "judgment," see, e.g., Rom. 11:33; 1 Cor. 11:34; Gal. 5:10; Jas. 3:1. In these \    (a) the process leading to a decision and \    (b) the pronouncement of the decision, the verdict, are to be distinguished. In 1 Cor. 6:7 the word means a matter for judgment, a lawsuit. See JUDGMENT.\\(B-2, Noun: katakrima; Strong # 2631)\cp. No. 4, above, is "the sentence pronounced, the condemnation" with a suggestion of the punishment following; it is found in Rom. 5:16,18; 8:1.\\(B-3, Noun: krisiV; Strong # 2920)\\    (a) denotes "the process of investigation, the act of distinguishing and separating" (as distinct from {krima}, see No. 1 above); hence "a judging, a passing of judgment upon a person or thing;" it has a variety of meanings, such as judicial authority, John 5:22,27; justice, Acts 8:33; Jas. 2:13; a tribunal, Matt. 5:21,22; a trial, John 5:24; 2 Pet. 2:4; a judgment, 2 Pet. 2:11; Jude 1:9; by metonymy, the standard of judgment, just dealing, Matt. 12:18,20; 23:23; Luke 11:42; Divine judgment executed, 2 Thess. 1:5; Rev. 16:7; \    (b) sometimes it has the meaning "condemnation," and is virtually equivalent to {krima} \    (a); see Matt. 23:33; John 3:19; Jas. 5:12, {hupo krisin}, "under judgment." See ACCUSATION, A (Note), DAMNATION, JUDGMENT.\\Note: In John 9:39, "For judgment ({krima}) came I into this world," the meaning would appear to be, "for being judged" (as a touch-stone for proving men's thoughts and characters), in contrast to John 5:22, "hath given all judging ({krisiV}) to the Son;" in Luke 24:20, "delivered Him up to be condemned to death," the latter phrase is, lit., "to a verdict ({krima}) of death" (which they themselves could not carry out); in Mark 12:40, "these shall receive greater condemnation" ({krima}), the phrase signifies a heavier verdict (against themselves).\\(B-4, Noun: katakrisiV; Strong # 2633)\a strengthened form of No. 3, denotes "a judgment against, condemnation," with the suggestion of the process leading to it, as of "the ministration of condemnation," 2 Cor. 3:9; in 2 Cor. 7:3, "to condemn," more lit., "with a view to condemnation."\\(C-1, Adjective: autokatakritoV; Strong # 843)\"self-condemned" ({auto}, "self," {katakrino}, "to condemn"), i.e., on account of doing himself what he condemns in others, is used in Titus 3:11.\\(C-2, Adjective: akatagnostoV; Strong # 176)\akin to A, No. 1, with negative prefix, a, "not to be condemned," is said of sound speech, in Titus 2:8.
528	Condescend	(1: sunapago; Strong # 4879)\see CARRY, No. 7.
529	Conditions	lit., "the (things) towards," i.e., the things relating to, or conditions of, (peace).
530	Conduct	(A-1, Noun: agoge; Strong # 72)\from {ago}, "to lead," properly denotes "a teaching;" then, figuratively, "a training, discipline," and so, the life led, a way or course of life, conduct, 2 Tim. 3:10, RV, "conduct;" AV, "manner of life." See LIFE. \\(B-1, Verb: kathistemi; Strong # 2525)\lit., "to stand down or set down" ({kata}, "down," {histemi}, "to stand"), has, among its various meanings, "the significance of bringing to a certain place, conducting," Acts 17:15 (so the Sept. in Josh. 6:23; 1 Sam. 5:3; 2 Chron. 28:15). See APPOINT.\\(B-2, Verb: propempo; Strong # 4311)\signifies "to set forward, conduct:" see ACCOMPANY, No. 4.
531	Confer, Conference	(1: prosanatithemi; Strong # 4323)\lit., "to put before" ({proV}, "towards," {ana}, "up," and {tithemi}, "to put"), i.e., "to lay a matter before others so as to obtain counsel or instruction," is used of Paul's refraining from consulting human beings, Gal. 1:16 (translated "imparted" in Gal. 2:6; AV, "added...in conference"). Cp. the shorter form {anatithemi}, in Gal. 2:2, "laid before," the less intensive word being used there simply to signify the imparting of information, rather than conferring with others to seek advice. See ADD, IMPART. \\(2: sullaleo; Strong # 4814)\"to speak together with" ({sun}, "with," {laleo}, "to speak"), is translated "conferred" in Acts 25:12; elsewhere of talking with, Matt. 17:3; Mark 9:4; Luke 4:36; 9:30; "communed" in Luke 22:4. See COMMUNE, SPEAK, TALK.\\(3: sumballo; Strong # 4820)\lit., "to throw together" ({sun}, "with," {ballo}, "to throw"), is used of "conversation, to discourse or consult together, confer," Acts 4:15. See ENCOUNTER, HELP, MEET_WITH, PONDER.\\Note: For the AV, "conference" in Gal. 2:6, see No. 1, above.
532	Confess, Confession	(A-1, Verb: homologeo; Strong # 3670)\lit., "to speak the same thing" ({homoV}, "same," {lego}, "to speak"), "to assent, accord, agree with," denotes, \    (a) "to confess, declare, admit," John 1:20; e.g., Acts 24:14; Heb. 11:13; \    (b) "to confess by way of admitting oneself guilty of what one is accused of, the result of inward conviction," 1 John 1:9; \    (c) "to declare openly by way of speaking out freely, such confession being the effect of deep conviction of facts," Matt. 7:23; 10:32 (twice) and Luke 12:8 (see next par.); John 9:22; 12:42; Acts 23:8; Rom. 10:9,10 ("confession is made"); 1 Tim. 6:12 (RV); Titus 1:16; 1 John 2:23; 4:2,15; 2 John 1:7 (in John's Epistle it is the necessary antithesis to Gnostic doceticism); Rev. 3:5, in the best mss. (some have No. 2 here); \    (d) "to confess by way of celebrating with praise," Heb. 13:15; \    (e) "to promise," Matt. 14:7. In Matt. 10:32; Luke 12:8 the construction of this verb with {en}, "in," followed by the dative case of the personal pronoun, has a special significance, namely, to "confess" in a person's name, the nature of the "confession" being determined by the context, the suggestion being to make a public "confession." Thus the statement, "every one...who shall confess Me (lit., "in Me," i.e., in My case) before men, him (lit., "in him," i.e., in his case) will I also confess before My Father...," conveys the thought of "confessing" allegiance to Christ as one's Master and Lord, and, on the other hand, of acknowledgment, on His part, of the faithful one as being His worshipper and servant, His loyal follower; this is appropriate to the original idea in {homologeo} of being identified in thought or language. See PROFESS, PROMISE, THANK.\\(A-2, Verb: exomologeo; Strong # 1843)\{ek}, "out," intensive, and No. 1, and accordingly stronger than No. 1, "to confess forth," i.e., "freely, openly," is used \    (a) "of a public acknowledgment or confession of sins," Matt. 3:6; Mark 1:5; Acts 19:18; Jas. 5:16; \    (b) "to profess or acknowledge openly," Matt. 11:25 (translated "thank," but indicating the fuller idea); Phil. 2:11 (some mss. have it in Rev. 3:5: see No. 1); \    (c) "to confess by way of celebrating, giving praise," Rom. 14:11; 15:9. In Luke 10:21, it is translated "I thank," the true meaning being "I gladly acknowledge." In Luke 22:6 it signifies to consent (RV), for AV, "promised." See CONSENT, PROMISE, THANK.\\(B-1, Noun: homologia; Strong # 3671)\akin to A, No. 1, denotes "confession, by acknowledgment of the truth," 2 Cor. 9:13; 1 Tim. 6:12,13; Heb. 3:1; 4:14; 10:23 (AV, incorrectly, "profession," except in 1 Tim. 6:13).\\Note: For the adverb {homologoumenoV}, confessedly, see CONTROVERSY.
533	Confidence, Confident, Confidently	(A-1, Noun: pepoithesiV; Strong # 4006)\akin to {peitho}, B, No. 1 below, denotes "persuasion, assurance, confidence," 2 Cor. 1:15; 3:4, AV, "trust;" 2 Cor. 8:22; 10:2; Eph. 3:12; Phil. 3:4. See TRUST. \\(A-2, Noun: hupostasiV; Strong # 5287)\lit., "a standing under" ({hupo}, "under," {stasiV}, "a standing"), "that which stands, or is set, under, a foundation, beginning;" hence, the quality of confidence which leads one to stand under, endure, or undertake anything, 2 Cor. 9:4; 11:17; Heb. 3:14. Twice in Heb. it signifies "substance," Heb. 1:3 (AV, "Person") and Heb. 11:1. See SUBSTANCE.\\(A-3, Noun: parrhesia; Strong # 3954)\often rendered "confidence" in the AV, is in all such instances rendered "boldness" in the RV, Acts 28:31; Heb. 3:6; 1 John 2:28; 3:21; 5:14. See BOLDNESS, OPENLY, PLAINNESS.\\(B-1, Verb: peitho; Strong # 3982)\"to persuade," or, intransitively, "to have confidence, to be confident" (cp. A, No. 1), has this meaning in the following, Rom. 2:19; 2 Cor. 2:3; Gal. 5:10; Phil. 1:6,14 (RV, "being confident," for AV, "waxing confident"), 25; 3:3,4; 2 Thess. 3:4; Philem. 1:21. See AGREE, ASSURE, BELIEVE, OBEY, PERSUADE, TRUST, YIELD.\\(B-2, Verb: tharreo; Strong # 2292)\"to be of good courage," is so translated in the RV of 2 Cor. 5:6; 7:16 (AV, "to have confidence, or be confident"). See COURAGE.\\Note: The adverb "confidently" is combined with the verb "affirm" to represent the verbs {diischurizomai}, Luke 22:59; Acts 12:15, RV (AV, "constantly affirmed"), and {diabebaioomai}, 1 Tim. 1:7, AV, "affirm," and Titus 3:8, AV, "affirm constantly." See AFFIRM.
534	Confirm, Confirmation	(A-1, Verb: bebaioo; Strong # 950)\"to make firm, establish, make secure" (the connected adjective {bebaioV} signifies "stable, fast, firm"), is used of "confirming" a word, Mark 16:20; promises, Rom. 15:8; the testimony of Christ, 1 Cor. 1:6; the saints by the Lord Jesus Christ, 1 Cor. 1:8; the saints by God, 2 Cor. 1:21 ("stablisheth"); in faith, Col. 2:7; the salvation spoken through the Lord and "confirmed" by the Apostles, Heb. 2:3; the heart by grace, Heb. 13:9 ("stablished"). \\(A-2, Verb: episterizo; Strong # 1991)\"to make to lean upon, strengthen" ({epi}, "upon," {sterix}, "a prop, support"), is used of "confirming" souls, Acts 14:22; brethren, Acts 15:32; churches, Acts 15:41; disciples, Acts 18:23, in some mss. ("stablishing," RV, "strengthening," AV); the most authentic mss. have {sterizo} in 18:23. See STRENGTHEN.\\(A-3, Verb: kuroo; Strong # 2964)\"to make valid, ratify, impart authority or influence" (from {kuroV}, "might," {kurioV}, "mighty, a head, as supreme in authority"), is used of spiritual love, 2 Cor. 2:8; a human covenant, Gal.3:15. In the Sept., see Gen. 23:20, e.g.\\(A-4, Verb: prokuroo; Strong # 4300)\{pro}, "before," and No. 3, "to confirm or ratify before," is said of the Divine confirmation of a promise given originally to Abraham, Gen. 12, and "confirmed" by the vision of the furnace and torch, Gen. 15, by the birth of Isaac, Gen. 21, and by the oath of God, Gen. 22, all before the giving of the Law, Gal. 3:17.\\(A-5, Verb: mesiteuo; Strong # 3315)\"to act as a mediator, to interpose," is rendered "confirmed," in the AV of Heb. 6:17 (marg., and RV, "interposed"). See INTERPOSED.\\(B-1, Noun: bebaiosiV; Strong # 951)\akin to A, No. 1, is used in two senses \    (a) "of firmness, establishment," said of the "confirmation" of the Gospel, Phil. 1:7; \    (b) "of authoritative validity imparted," said of the settlement of a dispute by an oath to produce confidence, Heb. 6:16. The word is found frequently in the papyri of the settlement of a business transaction.
535	Conflict	(1: agon; Strong # 73)\from {ago}, "to lead," signifies \    (a) "a place of assembly," especially the place where the Greeks assembled for the Olympic and Pythian games; \    (b) "a contest of athletes," metaphorically, 1 Tim. 6:12; 2 Tim. 4:7, "fight;" Heb. 12:1, "race;" hence, \    (c) "the inward conflict of the soul;" inward "conflict" is often the result, or the accompaniment, of outward "conflict," Phil. 1 Thess. 2;2, implying a contest against spiritual foes, as well as human adversaries; so Col. 2:1, "conflict," AV; RV, "(how greatly) I strive," lit., "how great a conflict I have." See CONTENTION, FIGHT, RACE. Cp. {agonizomai} (Eng., "agonize"), 1 Cor. 9:25 etc. \\(2: athlesiV; Strong # 119)\denotes "a combat, contest of athletes;" hence, "a struggle, fight," Heb. 10:32, with reference to affliction. See FIGHT. Cp. {athleo}, "to strive," 2 Tim. 2:5 (twice).
536	Conformed, Conform, Conformable	(A-1, Verb: summorphizo; Strong # 4833)\"to make of like form with another person or thing, to render like" ({sun}, "with," {morphe}, "a form"), is found in Phil. 3:10 (in the Passive participle of the verb), "becoming conformed" (or "growing into conformity") to the death of Christ, indicating the practical apprehension of the death of the carnal self, and fulfilling his share of the sufferings following upon the sufferings of Christ. Some texts have the alternative verb {summorphoo}, which has practically the same meaning. \\(B-1, Adjective: summorphoV; Strong # 4832)\akin to A, signifies "having the same form as another, conformed to;" \    (a) of the "conformity" of children of God "to the image of His Son," Rom. 8:29; \    (b), of their future physical "conformity" to His body of glory, Phil. 3:21. See FASHION.\\(B-2, Adjective: suschematizo; Strong # 4964)\"to fashion or shape one thing like another," is translated "conformed" in Rom. 12:2, AV; RV, "fashioned;" "fashioning" in 1 Pet. 1:14. This verb has more especial reference to that which is transitory, changeable, unstable; {summorphizo}, to that which is essential in character and thus complete or durable, not merely a form or outline. {Suschematizo} could not be used of inward transformation. See FASHION ({schema}) and FORM ({morphe}).
537	Confound, Confuse, Confusion	(A-1, Noun: akatastasia; Strong # 181)\"instability," ({a}, negative, {kata}, "down," {stasiV}, "a standing"), denotes "a state of disorder, disturbance, confusion, tumult," 1 Cor. 14:33; Jas. 3:16, "revolution or anarchy;" translated "tumults" in Luke 21:9 (AV, "commotions"); 2 Cor. 6:5; 12:20. See TUMULT. \\(A-2, Noun: sunchusiV; Strong # 4799)\"a pouring or mixing together" ({sun}, "with," {cheo}, "to pour"); hence "a disturbance, confusion, a tumultuous disorder, as of riotous persons," is found in Acts 19:29.\\(B-1, Verb: suncheo; Strong # 4797)\or {sunchunno} or {sunchuno} (the verb form of A., No. 2), lit., "to pour together, commingle," hence (said of persons), means "to trouble or confuse, to stir up," Acts 19:32 (said of the mind); "to be in confusion," Acts 21:31, RV (AV, "was in an uproar"); Acts 21:27, "stirred up;" Acts 2:6; 9:22, "confounded." See STIR, UPROAR.\\(B-2, Verb: kataischuno; Strong # 2617)\"to put to shame," is translated "confound" in 1 Cor. 1:27, and 1 Pet. 2:6, AV (RV, "put to shame"). See ASHAMED, DISHONOR, SHAME.
538	Confute	(1: diakatelenchomai; Strong # 1246)\"to confute powerfully," is an intensive form of {elencho}, "to convict" ({dia}, "through," {kata}, "down," both intensive), Acts 18:28, implying that "he met the opposing arguments in turn ({dia}), and brought them down to the ground ({kata})." It carries also the thought that he brought home moral blame to them.
539	Congregation	(1: ekklesia; Strong # 1577)\is translated "congregation" in Heb. 2:12, RV, instead of the usual rendering "church." See ASSEMBLY. \\(2: sunagoge; Strong # 4864)\is translated "congregation" in Acts 13:43, AV (RV, "synagogue"). See SYNAGOGUE.
540	Conquer, Conqueror	(1: nikao; Strong # 3528)\"to overcome" (its usual meaning), is translated "conquering" and "to conquer" in Rev. 6:2. See OVERCOME, PREVAIL, VICTORY. \\(2: hupernikao; Strong # 5245)\"to be more than conqueror" ({huper}, "over," and No. 1), "to gain a surpassing victory," is found in Rom. 8:37, lit., "we are hyper-conquerors," i.e., we are pre-eminently victorious.
541	Conscience	(1: suneidesiV; Strong # 4893)\lit., "a knowing with" ({sun}, "with," {oida}, "to know"), i.e., "a co-knowledge (with oneself), the witness borne to one's conduct by conscience, that faculty by which we apprehend the will of God, as that which is designed to govern our lives;" hence \    (a) the sense of guiltness before God; Heb. 10:2; \    (b) that process of thought which distinguishes what it considers morally good or bad, commending the good, condemning the bad, and so prompting to do the former, and avoid the latter; Rom. 2:15 (bearing witness with God's law); Heb. 9:1; 2 Cor. 1:12; acting in a certain way because "conscience" requires it, Rom. 13:5; so as not to cause scruples of "conscience" in another, 1 Cor. 10:28,29; not calling a thing in question unnecessarily, as if conscience demanded it, 1 Cor. 10:25,27; "commending oneself to every man's conscience," 2 Cor. 4:2; cp. 2 Cor. 5:11. There may be a "conscience" not strong enough to distinguish clearly between the lawful and the unlawful, 1 Cor. 8:7,10,12 (some regard consciousness as the meaning here). The phrase "conscience toward God," in 1 Pet. 2:19, signifies a "conscience" (or perhaps here, a consciousness) so controlled by the apprehension of God's presence, that the person realizes that griefs are to be borne in accordance with His will. Heb. 9:9 teaches that sacrifices under the Law could not so perfect a person that he could regard himself as free from guilt. For various descriptions of "conscience" see Acts 23:1; 24:16; 1 Cor. 8:7; 1 Tim. 1:5,19; 3:9; 4:2; 2 Tim. 1:3; Titus 1:15; Heb. 9:14; 10:22; 13:18; 1 Pet. 3:16,21.
542	Consecrate	Heb. 9:18; 10:20, {enkainizo}, RV, "dedicated." See DEDICATE, PERFECT.
